id,instructions,body
17,"--- <br>Read the following story and make sure all the dates and lists have their
  proper commas.<br><br>
...
","--- ""It is Tuesday afternoon and Samir has been looking forward to going to the baseball
  game all day. He looks at his watch and sees that it's 3:15 PM on {+September 14th,
  2012.-September 14th 2012.|45}  As the game is about to start, Samir decides to
  find a good seat so that he can see {+Alex Rodriguez, Derek Jeter, and Ichiro Suzuki,-Alex
  Rodriguez Derek Jeter and Ichiro Suzuki,|46} his favorite players. \r\n\r\nBy the
  fourth inning, Samir is hungry so he goes to get something to eat. He orders a pretzel
  and a hotdog with {+ketchup, relish, and onions.-ketchup relish and onions.|46}
  The man behind the counter sees Samir wearing a Yankees hat, and gives him a free
  soda because he also likes the Yankees.\r\n\r\nJust as Samir sits back down, he
  hears the crack of a bat and the 'ooohhh' of the crowd.  He sees that a foul ball
  is coming right toward him, and that none other than Derek Jeter is standing at
  the plate. His hands are full with the {+hotdog, soda, and pretzel,-hotdog soda
  and pretzel,|46} but he manages to catch the foul ball with the hotdog dish. The
  hotdog flops off the dish, but Samir manages to hold onto the foul ball. The crowd
  laughs as he holds up the foul ball, now covered in ketchup. ""
"
1,"There are **nine errors** in this passage. *To edit a word, click on it and re-type it.*","In 1914, Ernest Shackleton set {+off-of|1} on an exploration across the Antarctic. In 1915 his ship, Endurance, became trapped in the ice, and {+its-it's|2} crew was stuck. Ten months later {+their-there|3} ship sank, and {+Shackleton's-Shackletons|4} crew was forced to live on {+an-a|5} iceberg. They reached Elephant Island in {+April-april|6} of 1916 using three lifeboats. 

Shackleton promised to {+find-found|7} help. In a small boat with five crew members, he spent 16 days crossing 800 miles of ocean. The remaining men were then rescued {+in-on|8} August of 1916. Amazingly, Shackleton did not {+lose-loose|9} anyone on the trip. "
99,Rewrite the following passage by rewriting the words in parentheses.,"This is a story about a man who {+sat-(sit)|244} around the house all day and did nothing. One day, his wife came home early, so he {+hid-(hide)|241} in a closet so she would think he was at work building houses. The only problem was, he left the TV on! She knew that he was home doing nothing and said, ""If you {+built-(build)|246} houses as well as you hide inside them, we would be doing great!"" The husband did not hear her. He was already asleep in his closet! It's hard doing nothing all day."
69,"--- This story has three introductory words. However, they do not have a comma placed
  after them.<br><br> To make changes, click on a word and add a comma to the end
  of it.
...
","--- ""Alex woke up at seven o’clock as always. {+However,-However|173} when he looked
  out his window, he could barely see anything. It was snowing harder than he had
  ever seen. After staring at the falling snow for a while, his sister called out
  to him that breakfast was ready.\r\n\r\nAlex and his sister ate waffles and listened
  to the radio broadcast about the weather. {+Meanwhile,-Meanwhile|175} it kept snowing
  harder and harder. There must have been at least two feet of snow on the ground.\r\n\r\nThe
  radio announced that schools were closed that day. Alex had a big project ready
  for school, so he was a little disappointed. {+Still,-Still|174} it was nice to
  have a day off to play with his family.\r\n""
"
81,"--- In this passage, there are two words that need to be capitalized and one word
  that needs ending punctuation. To edit the text, click on a word and type in your
  changes.
...
","--- '{+I-i|193} saw some little rabbits in a shop yesterday. {+They-they|193} looked
  adorable jumping and wriggling about. I wish I could have taken one home with {+me.-me|193}'
"
71,"--- In this passage, the irregular past participles are not spelled correctly. <br><br>There
  is also one regular past participle that needs ""ed"" at the end of the word. <br><br>To
  edit the text, click on a word and type in your changes.
...
","--- ""Scott had {+been-beed|181} in culinary school for two years before opening his
  first restaurant. At first, only a few people visited the restaurant. However, all
  hope wasn't {+lost.-losed.|182} Scott kept cooking, and has since {+become-became|248}
  a popular chef in his hometown. Everyone who has {+eaten-eated|180} at his restaurant
  found themselves coming back again and again. Some are local diners, while others
  have {+gone-goed|184} great distances to try Scott's food. \r\n\r\nOne of the most
  popular items on the menu is the chicken wrap. The {+grilled-grill|179} chicken
  in the wrap is cooked to perfection, and the seasoning adds a good amount of spice.
  There is also plenty of lettuce and tomato to add to the flavor. The wrap alone
  has {+made-maked|183} a name for Scott and his new-found success.""
"
63,"--- 'In this story, the lists need commas or colons.<br><br> Click on a word to write
  in punctuation. '
","--- ""\""Devon, could you help me with this recipe?\""\r\n\r\nDevon's mom did not usually
  ask for his help, so he thought that this must be important. Devon went downstairs
  to the kitchen where his mom was cooking.\r\n\r\n\""Devon, I can't mix the ingredients
  and read the recipe at the same time. Could you read the instructions to me out
  loud?\""\r\n\r\n\""No problem, mom. Take a mixing bowl and gather the following {+ingredients:-ingredients|172}
  eggs, milk, butter, and flour.\""\r\n\r\n\""Got it. What's next?\""\r\n\r\n\""Start
  preparing other ingredients, such as {+sugar, vanilla, and salt.-sugar vanilla and
  salt.|171} Can you handle this from here Mom?\""\r\n\r\n\""Yup! Thanks Devon! The
  cake should be ready in an hour or so, and you get the first piece!\""""
"
189,"--- ''
","--- ''
"
75,"--- In this passage, there are spaces in between the quotation marks and the words
  next to them. To make edits, click on a word and delete any unnecesary spaces.
...
","--- ""Two cousins, Hailey and Maria, were hiking around Acadia National Park. Tired,
  Hailey asked, {+\""Could-\"" Could|188} you pass me some water? I need to take a {+break.\""-break.
  \""|188}\r\n\r\n{+\""Sure,\""-\"" Sure, \""|188} Maria cheerfully replied, and handed
  her cousin a water bottle. As she passed the bottle over, Hailey remembered that
  they only brought one bottle for the two of them. {+\""I'll-\"" I'll|188} try not
  to drink all of {+it,\""-it, \""|188} She said.\r\n\r\n{+\""Don't-\"" Don't|188} worry
  about {+it,\""-it, \""|188} said Maria, {+\""It-\"" It|188} is more important that you
  hydrate often than to overexert {+yourself.\""-yourself. \""|188}\r\n\r\n{+\""Thanks
  Maria,\""-\"" Thanks Maria, \""|188} Hailey said as the two cousins sat down to enjoy
  the view.""
"
97,"--- <br>There are <b>6 errors</b> in this story.  <br><br> <i>How many can you correct?</i><br><br>To
  edit a word, click on it and re-type it.<br><br>
...
","--- ""There was once a Holy Man who lived on the banks of the Ganges. Since he and
  his wife had no children, he prayed {+every day-everyday|215} to the gods to give
  him a child. Years {+passed,-past,|216} but the gods did not hear his prayers. After
  such a long time, the man had begun to {+lose-loose|209} hope.\r\n \r\nOne day,
  however, while the man was praying, a hawk flew overhead, carrying a mouse in {+its-it’s|211}
  talons. The hawk then dropped the mouse, and the poor creature fell with a tiny
  splash into the {+river's-rivers|165} waters. The Holy Man {+saw-sees|226} what
  happened, and he rescued the mouse.""
"
95,"--- Proofread the passage below, making sure that all the commonly confused words
  are spelled correctly.
...
","--- ""There was once a flock of birds who lived together in the forest in {+Greece.-Grease.|203}
  Their leader was very wise, and whenever he whistled, the whole flock would gather
  around and listen to his advice.\r\n\r\nMeanwhile, there was a man living at the
  edge of the forest who wanted to catch the birds. He listened carefully until he
  recognized the leader's whistle. By imitating that sound, the man was {+then-than|207}
  able to lure the flock into his net. The birds shrieked in fear, unable to escape.\r\n\r\nThe
  leader, however, shouted down from above. \""You must work together! Stick {+your-you're|208}
  heads into the holes of the net and then rise up together, carrying the net away
  with you.\""\r\n\r\nThe birds did as he ordered, lifting the net {+clean-cleanse|204}
  off the ground. The leader then guided them to a thorn bush. The net got caught
  on the thorns, and so the birds escaped to safety, leaving the net behind.\r\n\r\nThe
  man was frustrated by these events, but he came up with a plan. \""I will wait until
  the birds are quarreling and try again.\""  He then waited patiently until he believed
  his plan would {+bear-bare|205} fruit. Sure enough, a few days later, he heard the
  birds making angry noises.\r\n\r\n\""You stepped on my tail,\"" one of them was saying.\r\n\r\n\""No,
  you trod on my foot.\""\r\n\r\n\""You pecked me with your beak.\""\r\n\r\nWhile the
  birds were arguing, the man ran up and threw the net over them. Their leader tried
  to get his followers to listen to his {+pleas.-please.|200}  He urged them, \""Work
  together! Pick up the net!\""\r\n\r\n\""No, you pick it up!\"" shouted one of the angry
  birds.\r\n\r\n\""I will not. You pick it up!\""\r\n\r\nThe man, meanwhile, gathered
  up the net and took all the birds away to the market where he sold them for a great
  price. The {+poor-pour|202} birds: if only they had been able to cooperate, they
  would have been able to save themselves!""
"
93,"--- Proofread the passage below, making sure that all the commonly confused words
  are spelled correctly.
...
","--- ""There were once some frogs who lived together in a pond. The frogs all did what
  they liked. Some frogs liked to hop and splash, and other frogs liked just to sit
  and lie in the sun. One day, during a {+downpour,-downpoor,|202} the quiet frogs
  got frustrated with the frogs who hopped and splashed, and {+although-all though|199}
  they had made no laws before, they decided that there should be a law against too
  much hopping and splashing. \""We need a king who will make laws and rule over us,\""
  they said, and so they asked the god Zeus to {+please-pleas|200} give them a king.\r\n\r\n\""Dear
  frogs,\"" Zeus replied, \""you have the freedom to rule yourselves right now, and
  that is better than having a king.\""\r\n\r\n\""No,\"" shouted the frogs, \""send us
  a king!\""\r\n\r\nZeus laughed at the {+poor-pour|202} little frogs and threw a big
  log down into the pond. \""Here is {+your-you're|208} king!\"" he shouted.\r\n\r\nAt
  first, the frogs were scared of the log. Soon, however, they saw that the log did
  nothing at all. One frog even hopped on top of the log, and still the log did nothing.
  The frogs {+then-than|207} complained to Zeus, \""This log is not a king! We want
  a king who will be strong and rule over us!\""\r\n\r\nZeus {+finally-finely|201}
  lost his temper and said to the foolish frogs, \""If you want a strong king, then
  that is what I will give you!\"" The angry god appointed a stork to be king of the
  frogs, and when the stork arrived, it began to eat the frogs, gobbling them up one
  by one.\r\n\r\nThe poor frogs realized their mistake too late. \""This is not what
  was  {+meant-mint|198} to happen! We were better off when we ruled ourselves,\""
  they said. \""Now this king will be our destruction!\""""
"
25,"--- Some words in the story below need to be capitalized.<br><br> To make changes,
  click on a word and replace the first letter with a capitalized version.
...
","--- 'Each culture around the world celebrates their own unique holidays. Here are
  some of the holidays you have probably heard of: {+Christmas,-christmas,|92} {+Hanukkah,-hanukkah,|92}
  and {+Valentine''s Day.-valentine''s day.|92} However, there are other holidays
  celebrated in other parts of the world that are just as interesting. Many people
  from Mexico celebrate the {+Day of the Dead,-day of the dead,|92} or Dia de los
  Muertos in Spanish, where family and friends dress up and pray for those who have
  passed away. Some of the traditions include honoring deceased relatives by leaving
  sugar skulls on their graves, and dressing up with skeleton masks.'
"
39,"--- Rewrite the following story by capitalizing all the appropriate words. <br><br>All
  the words that are currently capitalized are supposed to be.
...
","--- ""\r\nAfter the Apollo 11 mission landed Neil Armstrong on the Moon in 1969, the
  race to the Moon was over.  {+However,-however,|133} both {+America-america|134}
  and the USSR still had plans for outer space, and they realized that working together
  was easier than working against each other.  In 1975, they launched a joint mission
  called the Apollo-Soyuz Test Project.  {+The-the|133} goal of the mission was to
  create two rockets, one {+Apollo-apollo|134} rocket and one {+Soyuz-soyuz|134} rocket,
  and have them link up in space.  If {+America-america|134} and the USSR successfully
  completed this project, then they would be able to do joint missions in space.  \r\n\r\nBoth
  the {+Apollo-apollo|134} rocket and the {+Soyuz-soyuz|134} rocket launched perfectly.
  \ The two rockets met up in space, and the crews toured each others ships.  When
  the meet up was done, the crews separated their ships and safely returned back to
  earth.  \r\n\r\nAfter the {+Apollo/Soyuz-apollo/soyuz|134} Test Project was successfully
  completed, both {+America-america|134} and the {+USSR-ussr|134} began working together
  to build space stations.  In fact, the Mir Space Station that orbited earth in the
  1990's, and the {+International Space Station-international space station|134} (ISS)
  that is orbiting us right now, are both based on Apollo/Soyuz design.  The project
  went so well that it started a new period of cooperation and trust between America
  and the USSR.""
"
45,"--- Correct the following passage by fixing the underlined pronouns. To make an edit, click the area of text you would like to change, then retype it.<br><br>
  There are eight errors in this passage.
...
","--- ""There was once a king who lived in a palace near a lake, where his daughter loved
  to swim and sail. One day, his daughter came running back to the palace, terrified.
  “Father,\"" {+she-they|145} cried, \""I saw a monster on the shore of the
  lake! A demon made of stone who is able to move! It was terrible!\""\r\n\r\nThe so-called
  demon was really only a turtle, but the princess had never seen a turtle before.
  To calm {+his-their|145} daughter's fears, the king ordered his servants to go capture
  the demon and bring {+it-them|144} to the palace. When they had done so,
  {+he-she|144} ordered them to kill the demon.\r\n\r\n\""We should throw it
  into the fire!\"" shouted the princess.\r\n\r\n\""We should smash it with a
  hammer!\"" suggested the king.\r\n\r\nThe king's advisers also shouted out
  their various proposals. Finally, the king's oldest adviser proclaimed, \""I think
  {+we-he|145} should drown the creature by throwing it into the deepest part
  of the lake!\""\r\n\r\nAt this point, the turtle spoke up in a quavering voice. \""Oh
  no,\"" he cried, \""not into the lake! Not into the deep waters! I don't care if you
  pound me with a hammer or throw {+me-I|144} into the fire but please, I beg
  you, don't throw me into the lake!\""\r\n\r\nThe princess immediately began chanting,
  \""Into the lake! Into the water! Into the lake! Into the water!\"" The king then
  ordered {+his-their|144} servants to go throw the creature at once into
  the lake where the waters were deepest.\r\n\r\nThe turtle shrieked the whole way,
  pretending to be afraid. The servants, as ordered, hurled him into the deep end
  of the lake. The turtle then plunged down into the depths of the water, laughing
  happily to himself. {+He-She|144} was glad to have escaped with his life
  and vowed never to come near humans again.\""
"
49,"--- There are <b>seven</b> punctuation problems in this story. Please fix the problems.
...
","--- ""Max looked at the clock {+again. In-again.In|152} just two more minutes he would
  be home free. The school bully had decided to pick on Max this week, but Max wasn't
  going down {+easy. Max-easy.Max|152} had his skateboard this week. Max’s dad must
  have told him {+1,000-1 ,000|154}times, “Always expect the unexpected.”\r\n\r\nThe
  bell {+rang, and-rang,and|153} Max flew out of the classroom.  His house was {+1.5
  miles,-1. 5 miles,|155} but Max thought he could make it.  He jumped on his skateboard
  and started racing down the hallway.  A teacher walking out of a classroom saw {+Max,
  and-Max,and|153} yelled for him to stop, but Max wasn't slowing {+down. By-down.By|152}the
  time the bully heard the noise and started running towards him, Max was already
  safely out the door.""
"
27,"--- Replace the words in parentheses with an appropriate reflexive pronoun.<br><br>
  To make changes, click on a word and change it to your answer. Then, delete the
  parentheses.
...
","--- ""Horatius Cocles was an officer in the Roman army. In 508 B.C. the Etruscan kingdom
  attacked Rome. He helped Rome defend {+itself.-(it).|66}\r\n\r\n\""Comrades,\"" he
  shouted, \""I will ready {+myself,-(me),|62} cross the bridge, and fight off the
  Etruscans. While I fight, stay behind and destroy the bridge with fire.\""\r\n\r\n\""But
  what will happen to you?\"" the men shouted. \""You will have no means of saving {+yourself!\""-(you)!\""|63}\r\n\r\n\""There
  is no time to argue,\"" Horatius replied. He then rushed forward, screaming a cry
  of victory. He looked back, and saw that his men had destroyed the bridge, removing
  {+themselves-(them)|69} from the battle. He then cried out, “Spirit of the river,
  protect me!” \r\n\r\nAs he spoke, the bridge fell, and Horatius threw {+himself-(him)|64}
  into the waters below. By some miracle, his request was granted and he survived.
  The Roman army won the battle that day.\r\n""
"
9,"--- Rewrite the following passage by choosing the correct conjunction from the insided
  the parentheses.<br><br>  Remember to delete the parentheses before clicking the
  submit button.
...
","--- ""Jake didn't think that he was going to make it onto the varsity soccer team,
  {+so-(so / and / or)|24} he was very surprised when the coach pulled him aside after
  the last day of try outs. Jake was small for his age, {+but-(and / but / so)|22}
  the coach noticed how hard he works. The coach said, “I know you want to be on this
  team, {+so-(so / or / and)|24} I am going to give you a spot as long as you work
  hard everyday.” Jake immediately agreed, {+and-(but / so / and)|21} promised to
  work harder to try to become the starting goalie by the end of the season.\r\n\r\nFrom
  that day on, Jake was first to show up to practice, and the last to leave. Even
  though he was told he could either run with the team {+or-(but / or / so)|23} do
  drills with the other goalies, Jake always said he had time for both. By the end
  of the season Jake was the fastest runner on the team {+and-(so / or / and)|21}
  the second best goalie. Jake worked hard everyday, {+so-(but / or / so)|24} he knew
  that next season would be the best goalie on the team for sure.\r\n""
"
7,"--- Rewrite the words in parentheses in the passage below so they are in their proper
  tenses.<br><br>  Remember to delete the parentheses before clicking the submit button.
...
","--- ""\""Hello again, I came by yesterday looking for apples. Are they here yet?\""\r\n\r\n\""Apples?
  Nobody told me to save any apples yesterday.\""\r\n\r\n“I'm certain that I {+asked-(ask)|18}
  for some apples yesterday!”\r\n\r\n“I'm sorry, but we are sold out right now. I
  {+will save-(save)|19} some apples for you to pick up tomorrow. How does that sound?\""\r\n\r\n“That's
  what you {+promised-(promise)|18} me yesterday.”\r\n\r\n“Well, that was yesterday,
  I'm asking if you {+will want-(want)|19} apples tomorrow.”\r\n\r\n“Why can't you
  sell me any today?”\r\n\r\n“Because we will close in ten minutes.\""\r\n\r\n\""When
  I {+called-(call)|18} this morning, you said you would not close until late tonight.\""\r\n\r\n“Hmm.
  Tell you what, I {+will pick-(pick)|19} some apples for you to take home tomorrow.
  Sound good?”\r\n\r\n“Where can you pick apples here in the city?\""\r\n\r\n“Oh, I
  don't pick them from any trees, I just buy them from my friend's store down the
  road.\""\r\n\r\n\""Wait, now I'm confused. All I want to know is if you actually have
  my apples for me or not. That's it.\""\r\n\r\n“Oh. Well, someone {+purchased-(purchase)|18}
  all the apples in the shop this morning. Why, do you want some or something?”""
"
57,"--- <br>Capitalize the titles of the books mentioned in this passage.<br>
...
","--- ""Stacy: \""You know Mark, I was sure there was a copy of {+'The Catcher in the
  Rye'-'the catcher in the rye'|162} somewhere in here.\""\r\n\r\nMark: \""Hmm. It should
  be right next to {+'The Scarlet Letter.'-'the scarlet letter.'|162} Oops! It looks
  like both books are out right now. I guess we will have to find another book to
  read.\""\r\n\r\nStacy: “That's okay. I had a backup book in mind, just in case. We
  should read {+'The Cay'-'the cay'|162} next because my friend said it was great.
  My class might start reading it this week as well.\""\r\n\r\nMark: \""I just finished
  reading it last week! Let's try another book. Have you ever read any of the Redwall
  books?\""\r\n\r\nStacy: \""Redwall? I haven't read any of the Redwall books. Do you
  recommend any book for me to start with?\""\r\n\r\nMark: \""I think they are all great,
  but I would start with {+'The Legend of Luke.'-'the legend of luke.'|162} It is
  one of the first books in the series, and I really enjoyed it!\""\r\n\r\nStacy: \""Thanks
  Mark! How about we trade books? You can give me {+'The Legend of Luke,'-'the legend
  of luke,'|162} and I can give you {+'To Kill a Mockingbird.'-'to kill a mockingbird.'|162}
  That book has a great story. You will really like it.\""\r\n\r\nMark: \""Sounds like
  a plan. I can't wait to start reading it! All of my friends say {+'To Kill a Mockingbird'-'to
  kill a mockingbird'|162} is a good read. All of my friends say it's an amazing book.
  Thanks for the suggestion!\""\r\n\r\n""
"
