id,name,description,uid,data,activity_classification_id,topic_id,created_at,updated_at,flags
64,"Colons to begin a list, commas for list items",We use commas and colons when writing a list.,m-54Kd1y3tk30IITsS6DGw,"""rule_position""=>""---
- '171'
- '172'
""",2,44,2013-10-14 19:55:06.99711,2014-04-17 18:40:16.248576,{archived}
151,Sentence Writing: Common and Proper Nouns,Write ten sentences using common and proper nouns.,Df6UhR841LwhCCllgbxGaQ,"""rule_position""=>""---
- - '409'
  - '2'
- - '411'
  - '2'
- - '410'
  - '6'
""",2,7,2014-04-19 15:42:51.083145,2014-04-19 20:05:59.641485,{production}
79,Passage Proofreading: How was the World Made? (Mythology),Proofread a passage and make sure that the verbs match the voice.,PSzGi203g_W-HrdqDbE6hg,"""body""=>""--- One of the biggest mysteries of life is how the world was {+created.-create.|189}
  Long ago, the Kuba of Central Africa believed the world was {+made-make|189} by
  one being. This god was {+named-name|189} Bumba. From deep within Bumba's body,
  the sun and the stars were {+pulled-pull|189} out into the night sky. As the sun
  heated up the earth, Bumba made animals, people, and his own children. One of his
  sons made many small white bugs. The bugs were {+transformed-transform|189} into
  the sands of the world. One of Bumba's sons was {+chased-chase|189} into the sky
  after causing many thunderstorms and other kinds of trouble. The creation of all
  plant life was {+credited-credit|189} to one of Bumba's sons as well. After these
  things were created, Bumba and his son's gave humans the responsibility to take
  care of the world.
...
"", ""instructions""=>""--- In this story, there are seven verbs that need to be in the passive voice. To
  edit the text, click on a word and make your changes.
...
""",1,52,2013-11-01 18:46:51.419592,2014-05-03 14:55:29.960044,{production}
11,Passage Proofreading: The Day the Island Breathed (Fiction),Proofread a passage correcting ten irregular plural tense words.,HAEcgVEQTBKkBQ8Q3ekGvg,"""body""=>""--- It all started when two volcanoes outside of town erupted. The explosion was so
  powerful that it shook the pots, pans, and {+knives-knifes|50} in every kitchen
  while {+loaves-loafs|51} of bread fell onto the floor. The ground trembled and knocked
  everybody off their {+feet.-foots.|55} When they stood back up, they heard a great
  whooshing noise as air rushed into each volcano. In the nearby fields,{+deer,-deers,|60}
  {+sheep,-sheeps,|61} {+mice,-mouses,|58} and other small animals fled from the gust.
  The {+people-persons|59} saw the water from the ocean flowing through the town toward
  the eruption. All the {+men,-mans,|54} women, and {+children-childs|56} hid in their
  houses, clenching their {+teeth-tooths|57} in fear, as the water filled the inside
  of each volcano. That night, the water shot back out into the ocean, and has risen
  and fallen with the tides ever since.
...
"", ""instructions""=>""--- In this story, there are ten words that need to be rewritten in their correct
  irregular plural tense form.<br><br> To rewrite these words, click on them and type
  in the correct answer.
...
""",1,15,2013-09-16 19:44:16.857823,2014-09-09 19:09:44.93614,{production}
58,"A Wrinkle in Time, Cinderella, Snow White, etc...",When we write a title we capitalize the first word and the descriptive words.,F2HqOsueSZ2W-LBagEy06w,"""rule_position""=>""---
- '162'
""",2,41,2013-10-14 19:11:49.52138,2014-04-18 19:36:06.854108,{archived}
53,Passage Proofreading: Janet Sends a Letter (Fiction),Proofread a passage correctly placing commas in addresses.,hWzAjPQdyb9stlTylE2pGA,"""body""=>""--- \""\\\""Excuse me, could you help me send this letter?\\\""\\r\\n\\r\\nJanet turned around
  and saw a nice old lady smiling behind her. The old lady was holding out a piece
  of paper towards Janet. Janet took the paper and looked at it. The address was not
  filled in, but the letter was beautifully hand written. \\r\\n\\r\\n\\\""I would love to
  help you,\\\"" said Janet. She took a pen out of her purse and asked the lady, \\\""Where
  do you want to send the letter?\\\"" The old lady replied, {+\\\""52 Fenway Street, Fieldspring,
  Massachusetts 12345.-\\\""52 Fenway Street Fieldspring Massachusetts 12345.|163} My
  grandson lives there.\\\"" \\r\\n\\r\\nJanet started writing it out, but stopped halfway
  through.\\r\\n\\\""Are you sure your grandson's address is {+52 Fenway Street, Fieldspring,
  Massachusetts?\\\""-52 Fenway Street Fieldspring Massachusetts?\\\""|163}\\r\\n\\r\\n\\\""Did
  I say I Fieldspring? I'm sorry. Here is his real address: {+52 Fenway Street, Springfield,
  Massachusetts 12345.\\\""-52 Fenway Street Springfield Massachusetts 12345.\\\""|163}
  Janet finished writing the address and handed the letter back to the old lady.\\r\\n\\r\\n\\\""Thank
  you so much!\\\"" the old lady said.\\r\\n\\r\\n\\\""Happy to help!\\\"" replied Janet.\""
"", ""instructions""=>""--- \""<br>Insert commas into the addresses in the story.<br><br>\""
""",1,39,2013-10-14 18:57:04.554473,2015-01-27 20:49:29.950662,{production}
166,"Sentence Writing: Made, Lost, Gone","Write ten sentences using the past participles made, lost, and gone.",bDQ1uJkluM52fJKOeNPbfA,"""rule_position""=>""---
- - '454'
  - '2'
- - '456'
  - '2'
- - '457'
  - '2'
- - '455'
  - '4'
""",2,48,2014-04-19 15:43:02.783627,2014-04-19 20:13:20.464742,{production}
70,"Meanwhile, however, still, etc...",Place commas after introductory words.,XgwGtzZRl2nbr7qt_KSe-Q,"""rule_position""=>""---
- '173'
- '174'
- '175'
""",2,47,2013-10-21 20:10:21.380138,2014-04-18 18:17:10.956399,{archived}
106,"Sentence Writing: Not Only, But Also; Both, And","Write ten sentences using not only, but also, & both and.",DVEQuUXbtM_e69HT6wVw7A,"""rule_position""=>""---
- - '259'
  - '2'
- - '261'
  - '2'
- - '260'
  - '6'
""",2,43,2014-04-19 15:42:16.808191,2014-04-19 20:37:35.429094,{production}
141,"Sentence Writing: These, Those",Write ten sentences using these or those.,He-CBHrPMzoJoSuMchS70g,"""rule_position""=>""---
- - '380'
  - '2'
- - '381'
  - '2'
- - '382'
  - '6'
""",2,17,2014-04-19 15:42:44.525664,2014-04-19 19:05:53.620695,{production}
61,Passage Proofreading: Group Project (Fiction),Proofread the passage to ensure correlative conjunctions are used correctly.,I4XOGaQHoqh_wkAkt9UBtA,"""body""=>""--- \""Vera needed to work on her group project. She was excited to start, but she needed
  to find a partner first. Alex was also looking for a partner, so the two decided
  to work together. Vera wanted to do the project about either the Great Lakes, {+or-___|167}
  the Rocky Mountains. Alex likes the mountains more, so he suggested doing a report
  on them.\\r\\n\\r\\nAlex and Vera went to do some research for their project. Unfortunately,
  {+neither-___|169} the library nor the bookstore was open that day, so it seemed
  as though the two would have to wait to finish their work. Luckily for Alex, Vera
  is {+not only-___|168} a fast reader, but also a great writer. Alex was not worried
  about finishing the project on time.\\r\\n\\r\\nThe next day both Alex and Vera went
  to the library. They found three great books about the Rocky Mountains. By the end
  of the day {+both-___|170} Alex and Vera knew all about the Rocky Mountains, and
  completing their project was a breeze.\""
"", ""instructions""=>""--- In this passage, the blanks need to be filled with appropriate words depending
  on which correlative conjunction is used. <br><br>To make changes, click on the
  blank and delete it. Then, fill in the space with one of the following words:<br><br>
  <b>or</b>, <b>neither</b>, <b>not only</b>, <b>both</b>
...
""",1,43,2013-10-14 19:22:42.267036,2014-09-10 19:40:18.384555,{production}
87,Passage Proofreading: Nasreddin and the Thieves (Mythology),Proofread a passage and correct any confused words.,-Qzqmurh30497uHpeem4SQ,"""body""=>""--- \""Every Friday, Nasreddin would arrive at the market with a donkey to sell. He
  always sold the donkey very cheaply, at a far lower cost than any of the other donkeys
  that were for sale.\\r\\n\\r\\nFinally, one of the merchants confronted Nasreddin. \\\""I
  do not understand how it is possible, {+please-pleas|200} explain yourself!\\\"" he
  exclaimed. \\\""With threats of violence, I compel the farmers who are my tenants to
  give me food for my donkeys at no cost. My workers are {+poor-pour|202} slaves and
  I pay them no wages for taking care of the donkeys. I {+lose-loose|209} no profit
  anywhere. That means I am able to sell my donkeys at the lowest possible price,
  but even {+then-than|207} you sell your donkeys for even less. {+It's-Its|211} unreasonable!
  How can that be?\\\""\\r\\n\\r\\nNasreddin smiled at the merchant and explained, {+\\\""You're-\\\""Your|208}
  stealing the food and the labor. I, however, am just stealing the donkeys!\\\""\""
"", ""instructions""=>""--- Proofread the passage below, making sure that all the commonly confused words
  are spelled correctly.
...
""",1,56,2013-11-12 21:58:23.525814,2014-04-21 05:10:01.275145,{production}
131,"Sentence Writing: Sat, Hid",Write seven sentences using the irregular past tense verbs sat and hid.,OQ3eV17BY1d4UcbhRKcQZA,"""rule_position""=>""---
- - '344'
  - '2'
- - '345'
  - '2'
- - '343'
  - '3'
""",2,22,2014-04-19 15:42:37.131103,2014-04-19 19:36:43.602645,{production}
82,Write complete sentences,"Students using Quill write complete sentences by capitalizing the first word, spelling properly, and ending with some form of punctuation.",Uixv4KVtHW0ErtRiOfIT0A,"""rule_position""=>""---
- '193'
""",2,53,2013-11-04 01:50:41.524531,2014-04-18 22:38:55.77856,{archived}
54,"Street name, city, state, zipcode","When we write addresses, we put commas after the street name, city, and state.",1FsjkKfAQ_zMdRtUO8DIMg,"""rule_position""=>""---
- '163'
""",2,39,2013-10-14 18:57:04.554473,2014-04-18 18:18:49.087687,{archived}
56,"Commas after speaking verbs, quotation marks around speech",We put quotation marks around spoken words. Remember to always put a comma before the beginning of a quotation.,hJ3uae1-N3hn839Kog7dhg,"""rule_position""=>""---
- '164'
""",2,40,2013-10-14 19:11:24.963517,2014-04-15 17:10:54.218742,{archived}
14,"A, the, this, etc...","An article is a word that proceeds a noun. A demonstrative is a word that precedes a noun and identifies how many there are, and how close they are.",vkyVDiKuQyVxYdPUlyI6Bg,"""rule_position""=>""---
- '27'
- '28'
- '29'
- '30'
- '31'
- '32'
- '33'
- '34'
""",2,17,2013-09-16 20:13:44.623135,2014-04-18 21:24:28.266849,{archived}
16,"Tuesday, Michael, September, etc...",Most names and specific dates must be capitalized.,qe-kojdg_bF-eWJk_TolHw,"""rule_position""=>""---
- '42'
- '43'
- '44'
""",2,18,2013-09-16 21:26:14.765994,2014-04-18 20:38:14.165294,{archived}
18,"May 16th, 1942",Remember to use commas when writing dates and lists.,B4tYq1PQC7fryVAYCQWWLg,"""rule_position""=>""---
- '45'
- '46'
- '47'
""",2,19,2013-09-16 22:57:25.589845,2014-04-18 20:46:27.789184,{archived}
35,Passage Proofreading: One Giant Leap for Mankind (History),Proofread a passage ensuring that the proper word is used in each circumstance.,G01GZWMfEC08Vgx1t-Cc2w,"""body""=>""--- \""On July 16th, 1969, hundreds of people traveled to the Kennedy Space Center in
  Florida to watch the Launch of the Apollo 11 rocket. Speakers announced, “You {+may-(can
  / may)|119} not approach the launch site without permission.” Nine and a half years
  ago, President John F. Kennedy promised we would land a man on the Moon in the next
  10 years. Today was the last chance America had to keep its promise. NASA knew they
  {+must-(must / should)|120} launch the rocket now, or they would run out of time.
  The crew asked Mission Control if they {+may-(may / can)|119} begin the countdown
  to launch. It was a perfect day for flying, so NASA knew there {+should-(should
  / must)|120} not be any problems.\\r\\n\\r\\nAfter a rocket leaves Earth, there is nothing
  else Mission Control {+can-(may / can)|119} do, so the launch is always tense. Once
  the rocket was close to the Moon, Mission Control told the crew they {+must-(must
  / should)|120} circle the moon once, because that was the only way to slow down.
  NASA suggested that they {+should-(should / must)|120} try to find some good rocks
  to bring back.\\r\\n\\r\\nTwo of the crew members, Neil Armstrong and Buzz Aldrin, launched
  a smaller ship from the Apollo 11 rocket, and landed on the Moon. When Neil Armstrong
  first stepped out of the ship he said, “That's one small step for a man, and one
  giant leap for mankind.”\""
"", ""instructions""=>""--- Rewrite the story by choosing the correct words from the parentheses.<br><br>
  Remember to delete the parentheses before clicking the submit button.
...
""",1,29,2013-09-24 00:17:11.579076,2014-04-19 19:14:40.288094,{production}
62,"Either / or, neither / nor, both, etc...",Correlative conjunctions combine two ideas in certain ways.,1iVzSbEjPIK1sZUykBGjmw,"""rule_position""=>""---
- '167'
- '168'
- '169'
- '170'
""",2,43,2013-10-14 19:22:42.267036,2014-04-17 14:29:44.627603,{archived}
66,"Yes, no, Steve, etc...","Use a comma to separate the words ""yes"" and ""no"" from the beginnings and ends of sentences.  We also use commas to separate tag questions from sentences as well.",2EqbjTWAR8BY4Ii94o2DWQ,"""rule_position""=>""---
- '176'
- '177'
- '178'
""",2,45,2013-10-15 01:23:59.750049,2014-04-18 15:04:55.010031,{archived}
125,"Sentence Writing: Comparative and Superlative Adjectives Ending in ""Y""",Write ten sentences using comparative and superlative adjectives.,QgAVWhUjmv2zDq0h286_3g,"""rule_position""=>""---
- - '325'
  - '2'
- - '327'
  - '2'
- - '326'
  - '6'
""",2,38,2014-04-19 15:42:33.338677,2014-04-19 23:56:56.96799,{production}
156,"Sentence Writing: And, Or","Write 10 sentences using the conjunctions and, or.",tWwOHnapjOTXqMQOY6p7-g,"""rule_position""=>""---
- - '423'
  - '2'
- - '425'
  - '2'
- - '424'
  - '6'
""",2,14,2014-04-19 15:42:55.591125,2014-04-20 00:01:39.724883,{production}
133,"Sentence Writing: Saw, Dug, Found","Write nine sentences using the irregular past tense verbs saw, dug, and found.",mom0aXTHMa3htgZuHspCzA,"""rule_position""=>""---
- - '350'
  - '1'
- - '352'
  - '1'
- - '353'
  - '1'
- - '351'
  - '6'
""",2,22,2014-04-19 15:42:38.144217,2014-04-19 19:24:17.577825,{production}
129,"Sentence Writing: Came, Went, Did","Write nine sentences using the irregular past tense verbs came, went, and did.",SMPyFxSXOxEIr6Pi6WB4ZQ,"""rule_position""=>""---
- - '336'
  - '2'
- - '338'
  - '2'
- - '339'
  - '2'
- - '337'
  - '3'
""",2,22,2014-04-19 15:42:36.042571,2014-04-19 23:45:52.478949,{production}
4,"Man, Steve, Steve's",Common nouns aren't capitalized unless they begin a sentence. Proper nouns are always capitalized.,r7e9oSqhNqohFEdQ4kDmIA,"""rule_position""=>""---
- '10'
- '11'
- '12'
- '13'
""",2,7,2013-09-16 02:15:51.34529,2014-04-18 22:30:01.450188,{archived}
6,"I run, she runs",Some verbs change their spelling to agree with the subject.,BNx0fgwP9Fgf4ZxRiFAlRA,"""rule_position""=>""---
- '15'
- '17'
""",2,10,2013-09-16 17:15:32.176173,2014-04-18 22:38:09.257842,{archived}
8,"I looked, I look, I will look",Verbs need to be in the correct tense.,u_TDrJrV7-ObB4n-f9-WWQ,"""rule_position""=>""---
- '18'
- '19'
- '20'
""",2,12,2013-09-16 17:35:19.88059,2014-04-18 22:52:19.373984,{archived}
10,"And, but, or, etc...",Conjunctions connect two shorter sentences into one sentence.,SYHlx_d88YVPWDPzRq9WpA,"""rule_position""=>""---
- '21'
- '22'
- '23'
- '24'
- '25'
- '26'
""",2,14,2013-09-16 19:38:22.867581,2014-04-18 23:21:51.045773,{archived}
91,Passage Proofreading: Nā ʻaumākua (History),Proofread a passage and correct any mistakes in parallel structure.,1xsnNcwKva_viIzpgNuJ-Q,"""body""=>""--- \""The ancient Hawaiian people were not as technologically advanced as other cultures
  of the time. However, by the time western civilization began communicating with
  the Hawaiian people, they had already developed a rich cultural heritage. They went
  about their lives by surviving off of the land, following strict social rules, and
  {+respecting-respected|196} their aumakuas, or \\\""family gods.\\\"" Unlike more powerful
  deities, such as Pele, the fiery goddess of volcanoes, aumakuas interacted specifically
  with individual families as spiritual guides. They were known for appearing in peoples'
  dreams, {+save-saving|213} people from harm, and bringing about good fortune to
  people in need.\\r\\n\\r\\nLike the spirit guides of other religions, aumakuas were
  said to be able to shape-shift. They could appear as a shark lurking on the ocean
  floor, or a hawk circling the skies. However, they were said to make themselves
  known easily to anyone who worshipped them. Out of respect for these spirit guides,
  the Hawaiian people payed tribute to them, asked for their guidance, and {+considered-consider|195}
  them to be family.\""
"", ""instructions""=>""--- In this passage, there are three actions that do not agree with the other actions
  in their respective lists. To edit the text, click on a word and type your changes.
...
""",1,59,2013-11-13 05:09:44.735591,2014-05-03 14:56:46.890538,{production}
17,Passage Proofreading: Samir's Baseball Game (Sport),Proofread a passage paying special attention to intensive pronouns. ,9ctijaFq2Ako4lbmblinIA,"""body""=>""--- \""It is Tuesday afternoon and Samir has been looking forward to going to the baseball
  game all day. He looks at his watch and sees that it's 3:15 PM on {+September 14th,
  2012.-September 14th 2012.|45}  As the game is about to start, Samir decides to
  find a good seat so that he can see {+Alex Rodriguez, Derek Jeter, and Ichiro Suzuki,-Alex
  Rodriguez Derek Jeter and Ichiro Suzuki,|46} his favorite players. \\r\\n\\r\\nBy the
  fourth inning, Samir is hungry so he goes to get something to eat. He orders a pretzel
  and a hotdog with {+ketchup, relish, and onions.-ketchup relish and onions.|46}
  The man behind the counter sees Samir wearing a Yankees hat, and gives him a free
  soda because he also likes the Yankees.\\r\\n\\r\\nJust as Samir sits back down, he
  hears the crack of a bat and the 'ooohhh' of the crowd.  He sees that a foul ball
  is coming right toward him, and that none other than Derek Jeter is standing at
  the plate. His hands are full with the {+hotdog, soda, and pretzel,-hotdog soda
  and pretzel,|46} but he manages to catch the foul ball with the hotdog dish. The
  hotdog flops off the dish, but Samir manages to hold onto the foul ball. The crowd
  laughs as he holds up the foul ball, now covered in ketchup. \""
"", ""instructions""=>""--- <br>Read the following story and make sure all the dates and lists have their
  proper commas.<br><br>
...
""",1,19,2013-09-16 22:57:25.589845,2014-09-11 18:29:32.859994,{production}
113,"Sentence Writing: You're, Your",Write ten sentences using you're and your.,_OGM4o2Av21MHkyJ8RHqHQ,"""rule_position""=>""---
- - '282'
  - '2'
- - '284'
  - '2'
- - '283'
  - '4'
""",2,46,2014-04-19 15:42:21.661996,2014-04-19 18:32:45.284384,{production}
110,"Sentence Writing: Than, Then",Write eight sentences using than and then.,KfXZjcff6YVWh1fbRzGr4w,"""rule_position""=>""---
- - '271'
  - '2'
- - '272'
  - '2'
- - '273'
  - '4'
""",2,46,2014-04-19 15:42:20.050745,2014-04-19 18:49:25.007156,{production}
105,"Sentence Writing: Either, Or; Neither, Nor","Write ten sentences using ""either, or"" and ""neither, nor.""",HBWrzOaQzm73sHdRNuKuDw,"""rule_position""=>""---
- - '256'
  - '2'
- - '258'
  - '2'
- - '257'
  - '6'
""",2,43,2014-04-19 15:42:16.106894,2014-04-19 18:51:11.978853,{production}
107,"Sentence Writing: It's, Its",Write eight sentences using it's and its.,J0L52IXhhtX6Y02MoZi5tw,"""rule_position""=>""---
- - '262'
  - '2'
- - '263'
  - '2'
- - '264'
  - '4'
""",2,46,2014-04-19 15:42:18.250936,2014-04-19 18:54:53.384161,{production}
108,"Sentence Writing: Of, Off",Write seven sentences using of and off.,TYSjfEShNlQqSWNOnkTxUg,"""rule_position""=>""---
- - '265'
  - '2'
- - '266'
  - '2'
- - '267'
  - '3'
""",2,46,2014-04-19 15:42:18.899905,2014-04-19 18:57:16.568321,{production}
128,"Sentence Writing: Built, Broke",Write nine sentences using the irregular past tense verbs built and broke.,5v62jVAjZvDIdXjMpDMr3g,"""rule_position""=>""---
- - '333'
  - '2'
- - '335'
  - '2'
- - '334'
  - '5'
""",2,22,2014-04-19 15:42:35.6621,2014-04-19 19:18:51.758774,{production}
1,Shackleton Returns from the Antarctic,Shackleton Returns from the Antarctic.,BaJi4-PhNRz9um-o0u-w6Q,"""body""=>""In 1914, Ernest Shackleton set {+off-of|1} on an exploration across the Antarctic. In 1915 his ship, Endurance, became trapped in the ice, and {+its-it's|2} crew was stuck. Ten months later {+their-there|3} ship sank, and {+Shackleton's-Shackletons|4} crew was forced to live on {+an-a|5} iceberg. They reached Elephant Island in {+April-april|6} of 1916 using three lifeboats. 

Shackleton promised to {+find-found|7} help. In a small boat with five crew members, he spent 16 days crossing 800 miles of ocean. The remaining men were then rescued {+in-on|8} August of 1916. Amazingly, Shackleton did not {+lose-loose|9} anyone on the trip. "", ""instructions""=>""There are **nine errors** in this passage. *To edit a word, click on it and re-type it.*""",1,1,2013-09-14 00:01:09.788782,2014-04-18 22:58:11.400208,{archived}
2,"Lose vs. loose, it's vs. its, they're vs. their vs. there etc...",Shackleton Returns from the Antarctic.,1tHuCGX7hWjNx6e8HADAFA,"""rule_position""=>""---
- '1'
- '2'
- '3'
- '4'
- '5'
- '6'
- '7'
- '8'
- '9'
""",2,1,2013-09-14 00:01:09.788782,2014-04-18 22:58:11.400208,{archived}
84,Spelling and punctuation,Take messy sentences written by  students and rewrite them with proper English grammar.,F7-kdfz-iLb6t0l2iac7Vg,"""rule_position""=>""---
- '194'
""",2,54,2013-11-09 22:05:49.7566,2014-04-18 15:25:03.473326,{archived}
74,Modifiers referring to the correct subject or object,Finish describing something before going on to mention other people or things.,z6PNyKDfLzi6VsQUUw6gow,"""rule_position""=>""---
- '186'
""",2,49,2013-10-23 21:01:31.179576,2014-04-15 12:20:30.994112,{archived}
103,Sentence Writing: Parallel Structure,Write nine sentences using parallel structure.,mjNfUsTjjxwcSHfy-Zv1SQ,"""rule_position""=>""---
- - '249'
  - '1'
- - '251'
  - '1'
- - '252'
  - '1'
- - '250'
  - '6'
""",2,59,2014-04-19 15:42:13.353551,2014-04-21 00:31:42.949148,{production}
123,Sentence Writing: The Progressive Tense,Write twelve sentences using the progressive tense.,rkhMz0hsImTienlg_ZkxUg,"""rule_position""=>""---
- - '318'
  - '1'
- - '320'
  - '2'
- - '321'
  - '2'
- - '319'
  - '7'
""",2,4,2014-04-19 15:42:31.288153,2014-04-19 23:42:44.422806,{production}
24,"Built, wrote, came, etc...","Not all past tense verbs end in ""ed"".",da0PGJ32TDP0aGWkBSNCGw,"""rule_position""=>""---
- '71'
- '72'
- '73'
- '74'
- '76'
- '77'
- '78'
- '79'
- '80'
- '81'
- '82'
""",2,22,2013-09-17 00:51:14.844977,2014-04-18 20:26:44.464465,{archived}
