id,instructions,prompt,body,createdAt,updatedAt,ruleId,hint
1189,"In this sentence, there is a choice between two things. Rewrite the sentence with <b>either</b> between the first choice. <b>There is more than one correct way to write your answer.</b>",You can have pasta or soup.,"---
- You can have {either} pasta or soup.
- You can have {either} pasta, or soup.
",4/19/2014 15:42:16,4/19/2014 15:42:16,256,
1190,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,We can help you move or schedule a mover.,"---
- We can {either} help you move or schedule a mover.
- We can {either} help you move, or schedule a mover.
",4/19/2014 15:42:16,4/19/2014 15:42:16,257,
1191,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,"I can help you, or go shopping.","---
- I can {either} help you, or go shopping.
- I can {either} help you or go shopping.
",4/19/2014 15:42:16,4/19/2014 15:42:16,257,
1192,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,Paul wants to study law or travel the world.,"---
- Paul wants to {either} study law or travel the world.
- Paul {either} wants to study law or travel the world.
- Paul wants to {either} study law, or travel the world.
- Paul {either} wants to study law, or travel the world.
",4/19/2014 15:42:16,4/19/2014 15:42:16,257,
1193,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,He builds computers nor fixes them.,"---
- He {neither} builds computers nor fixes them.
",4/19/2014 15:42:16,4/19/2014 15:42:16,257,
1194,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,They help nor hurt you.,"---
- They {neither} help nor hurt you.
",4/19/2014 15:42:17,4/19/2014 15:42:17,257,
1195,Rewrite the sentence with <b>either</b> or <b>neither</b> as appropriate.,We can run nor hide.,"---
- We can {neither} run nor hide.
",4/19/2014 15:42:17,4/19/2014 15:42:17,257,
1197,"In this sentence, there are two things that describe the subject. Rewrite the sentence with <b>neither</b> in front of the first thing that describes the subject.",I read German nor write it.,"---
- I {neither} read German nor write it.
",4/19/2014 15:42:17,4/19/2014 15:42:17,258,
1198,"In this sentence, there are two things that describe the subject. Rewrite the sentence with <b>neither</b> in front of the first thing that describes the subject.",I dance nor sing.,"---
- I {neither} dance nor sing.
",4/19/2014 15:42:17,4/19/2014 15:42:17,258,
1199,Rewrite the sentence by replacing <b>and</b> with <b>but also.</b>,"She not only loved cooking, and skydiving.","---
- She not only loved cooking, {but also} skydiving.
",4/19/2014 15:42:17,4/19/2014 15:42:17,259,
1200,Rewrite the sentence by replacing <b>and</b> with <b>but also.</b>,"I was not only on the track team, and the swim team.","---
- I was not only on the track team, {but also} the swim team.
",4/19/2014 15:42:17,4/19/2014 15:42:17,259,
1201,Rewrite the sentence using the concepts taught in the explanation examples.,"Greg not only speaks Spanish, and French.","---
- Greg not only speaks Spanish, {but also} French.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1202,Rewrite the sentence using the concepts taught in the explanation examples.,"He not only read every Harry Potter book, and has every movie too.","---
- He not only read every Harry Potter book, {but also} has every movie too.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1203,Rewrite the sentence using the concepts taught in the explanation examples.,"I don't just listen to music, play guitar.","---
- I don't just listen to music, {but also} play guitar.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1204,Rewrite the sentence using the concepts taught in the explanation examples.,Our school teaches robotics and choir.,"---
- Our school teaches {both} robotics and choir.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1205,Rewrite the sentence using the concepts taught in the explanation examples.,I would like ketchup and mustard.,"---
- I would like {both} ketchup and mustard.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1206,Rewrite the sentence using the concepts taught in the explanation examples.,I play basketball and baseball.,"---
- I play {both} basketball and baseball.
",4/19/2014 15:42:17,4/19/2014 15:42:17,260,
1207,Rewrite the sentence using <u>both</u>.,I want to study French and Spanish.,"---
- I want to study {both} French and Spanish.
",4/19/2014 15:42:17,4/19/2014 15:42:17,261,
1208,Rewrite the sentence using <u>both</u>.,I want ketchup and mustard on my hot dog.,"---
- I want {both} ketchup and mustard on my hot dog.
",4/19/2014 15:42:17,4/19/2014 15:42:17,261,
1209,"Rewrite the sentence, choosing <b>its</b> or <b>it's</b> depending on the context.",I think <u>it's / its</u> a good day for a walk.,"---
- I think {it's} a good day for a walk.
",4/19/2014 15:42:18,4/19/2014 15:42:18,262,
1210,"Rewrite the sentence, choosing <b>its</b> or <b>it's</b> depending on the context.",<u>It's / its</u> almost time for bed.,"---
- {It's} almost time for bed.
",4/19/2014 15:42:18,4/19/2014 15:42:18,262,
1211,"Rewrite the sentence, choosing <b>its</b> or <b>it's</b> depending on the context.",We drove our car until <u>it's / its</u> tires wore out.,"---
- We drove our car until {its} tires wore out.
",4/19/2014 15:42:19,4/19/2014 15:42:19,263,
1213,"Rewrite the sentence, filling in the blank with the correct word.",I dropped my phone and cracked __ screen.,"---
- I dropped my phone and cracked {its} screen.
",4/19/2014 15:42:19,4/19/2014 15:42:19,264,
1214,"Rewrite the sentence, filling in the blank with the correct word.",The old penny lost ____ shine.,"---
- The old penny lost {its} shine.
",4/19/2014 15:42:19,4/19/2014 15:42:19,264,
1216,"Rewrite the sentence, filling in the blank with the correct word.",__ raining cats and dogs.,"---
- {It's} raining cats and dogs.
",4/19/2014 15:42:19,4/19/2014 15:42:19,264,
1217,"Rewrite the sentence, choosing <b>of</b> or <b>off</b> depending on the context.",The crew helped each other get <u>of / off</u> the ice floe.,"---
- The crew helped each other get {off} the ice floe.
",4/19/2014 15:42:19,4/19/2014 15:42:19,265,
1218,"Rewrite the sentence, choosing <b>of</b> or <b>off</b> depending on the context.",He ordered his crew to take the supplies <u>of / off</u> the ship.,"---
- He ordered his crew to take the supplies {off} the ship.
",4/19/2014 15:42:19,4/19/2014 15:42:19,265,
1219,"Rewrite the sentence, choosing <b>of</b> or <b>off</b> depending on the context.",Shackleton knew he had to get out <u>of / off</u> the ship once it was trapped.,"---
- Shackleton knew he had to get out {of} the ship once it was trapped.
",4/19/2014 15:42:19,4/19/2014 15:42:19,266,
1220,"Rewrite the sentence, choosing <b>of</b> or <b>off</b> depending on the context.",Finding food was one <u>of / off</u> their top priorities.,"---
- Finding food was one {of} their top priorities.
",4/19/2014 15:42:19,4/19/2014 15:42:19,266,
1221,"Rewrite the sentence, filling in the blank with the correct word.",Sometimes an ice floe would crack and everyone would rush to get ___.,"---
- Sometimes an ice floe would crack and everyone would rush to get {off}.
",4/19/2014 15:42:19,4/19/2014 15:42:19,267,
1222,"Rewrite the sentence, filling in the blank with the correct word.","When the men set ____ for sea, they had no idea how dangerous it would be.","---
- When the men set {off} for sea, they had no idea how dangerous it would be.
",4/19/2014 15:42:19,4/19/2014 15:42:19,267,
1223,"Rewrite the sentence, filling in the blank with the correct word.","The ship was made ______ wood, so fires were handled with care.","---
- The ship was made {of} wood, so fires were handled with care.
",4/19/2014 15:42:19,4/19/2014 15:42:19,267,
1225,"Rewrite the sentence, choosing <b>lose</b> or <b>loose</b> depending on the context.",The crew beat the ice <u>lose / loose</u> from the sails.,"---
- The crew beat the ice {loose} from the sails.
",4/19/2014 15:42:20,4/19/2014 15:42:20,268,
1226,"Rewrite the sentence, choosing <b>lose</b> or <b>loose</b> depending on the context.",The old clothes were <u>lose / loose</u> around the crew's necks.,"---
- The old clothes were {loose} around the crew's necks.
",4/19/2014 15:42:20,4/19/2014 15:42:20,268,
1227,"Rewrite the sentence, choosing <b>lose</b> or <b>loose</b> depending on the context.",The navigator did not <u>lose / loose</u> sight of land.,"---
- The navigator did not {lose} sight of land.
",4/19/2014 15:42:20,4/19/2014 15:42:20,269,
1228,"Rewrite the sentence, choosing <b>lose</b> or <b>loose</b> depending on the context.",They made sure not to <u>lose / loose</u> all of their supplies.,"---
- They made sure not to {lose} all of their supplies.
",4/19/2014 15:42:20,4/19/2014 15:42:20,269,
1230,"Rewrite the sentence, filling in the blank with the correct word.",It was important to make sure a dog didn't break___ from the pack.,"---
- It was important to make sure a dog didn't break {loose} from the pack.
",4/19/2014 15:42:20,4/19/2014 15:42:20,270,
1231,"Rewrite the sentence, filling in the blank with the correct word.",The men were optimistic and did not ______ hope.,"---
- The men were optimistic and did not {lose} hope.
",4/19/2014 15:42:20,4/19/2014 15:42:20,270,
1236,"Rewrite the sentence, filling in the blank with the correct word.","There was nice weather for a while, but ______ a storm came.","---
- There was nice weather for a while, but {then} a storm came.
",4/19/2014 15:42:20,4/19/2014 15:42:20,273,
1240,"Rewrite the sentence, choosing <b>their</b>, <b>there</b>, or <b>they're</b> depending on the context.","They have changed, but <u>there / their / they're</u> still friends.","---
- They have changed, but {they're} still friends.
",4/19/2014 15:42:21,4/19/2014 15:42:21,274,
1241,"Rewrite the sentence, choosing <b>their</b>, <b>there</b>, or <b>they're</b> depending on the context.",They're always together now that <u>there / their / they're</u> dating.,"---
- They're always together now that {they're} dating.
",4/19/2014 15:42:21,4/19/2014 15:42:21,274,
1242,"Rewrite the sentence, filling in the blank with the correct word.",I like puppies because ____ so cute.,"---
- I like puppies because {they're} so cute.
",4/19/2014 15:42:21,4/19/2014 15:42:21,275,
1243,"Rewrite the sentence, filling in the blank with the correct word.",The students in that class will do well because _____ always studying.,"---
- The students in that class will do well because {they're} always studying.
",4/19/2014 15:42:21,4/19/2014 15:42:21,275,
1245,"Rewrite the sentence, filling in the blank with the correct word.",_____ concert was the best one I have seen.,"---
- {Their} concert was the best one I have seen.
",4/19/2014 15:42:21,4/19/2014 15:42:21,275,
1246,"Rewrite the sentence, filling in the blank with the correct word.",____ are many birds around here.,"---
- {There} are many birds around here.
",4/19/2014 15:42:21,4/19/2014 15:42:21,275,
1247,"Rewrite the sentence, filling in the blank with the correct word.",Where _____ is smoke there is fire.,"---
- Where {there} is smoke there is fire.
",4/19/2014 15:42:21,4/19/2014 15:42:21,275,
1248,"Rewrite the sentence, choosing <b>their</b>, <b>there</b>, or <b>they're</b> depending on the context.",My parents left <u>there / their / they're</u> oven on.,"---
- My parents left {their} oven on.
",4/19/2014 15:42:21,4/19/2014 15:42:21,276,
1249,"Rewrite the sentence, choosing <b>their</b>, <b>there</b>, or <b>they're</b> depending on the context.",<u>There / Their / They're</u> older music is way better.,"---
- {Their} older music is way better.
",4/19/2014 15:42:21,4/19/2014 15:42:21,276,
1251,"Rewrite the sentence, choosing <b>their</b>, <b>there</b>, or <b>they're</b> depending on the context.",<u>There / Their / They're</u> is a bird's nest in that tree.,"---
- {There} is a bird's nest in that tree.
",4/19/2014 15:42:21,4/19/2014 15:42:21,277,
1252,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",Can you tell me how <u>too / to / two</u> get home from here?,"---
- Can you tell me how {to} get home from here?
",4/19/2014 15:42:21,4/19/2014 15:42:21,278,
1253,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",You should go <u>too / to / two</u> sleep if you are tired.,"---
- You should go {to} sleep if you are tired.
",4/19/2014 15:42:21,4/19/2014 15:42:21,278,
1254,"Rewrite the sentence, filling in the blank with the correct word.",I want __ go fishing too.,"---
- I want {to} go fishing too.
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1255,"Rewrite the sentence, filling in the blank with the correct word.",I don't want ___ take a nap.,"---
- I don't want {to} take a nap.
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1256,"Rewrite the sentence, choosing the correct underlined word.",It is Ryan's birthday ____.,"---
- It is Ryan's birthday {too}.
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1257,"Rewrite the sentence, choosing the correct underlined word.",May I have some ice cream ____?,"---
- May I have some ice cream {too}?
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1258,"Rewrite the sentence, filling in the blank with the correct word.",My brother is ____ years old.,"---
- My brother is {two} years old.
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1259,"Rewrite the sentence, filling in the blank with the correct word.",They are like _____ peas in a pod.,"---
- They are like {two} peas in a pod.
",4/19/2014 15:42:21,4/19/2014 15:42:21,279,
1260,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",I want <u>to / two</u> live in Japan for a couple of years.,"---
- I want {to} live in Japan for a couple of years.
",4/19/2014 15:42:21,4/19/2014 15:42:21,280,
1261,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",You  <u>too / to / two</u> can prevent forest fires.,"---
- You {too} can prevent forest fires.
",4/19/2014 15:42:21,4/19/2014 15:42:21,280,
1262,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",Are there only  <u>too / to / two</u> seats available?,"---
- Are there only {two} seats available?
",4/19/2014 15:42:22,4/19/2014 15:42:22,281,
1263,"Rewrite the sentence, choosing <b>too</b>, <b>to</b>, or <b>two</b> depending on the context.",Do you want one or <u>too / to / two</u> napkins?,"---
- Do you want one or {two} napkins?
",4/19/2014 15:42:22,4/19/2014 15:42:22,281,
1264,"Rewrite the sentence, choosing <b>your</b> or <b>you're</b> depending on the context.",<u>Your / You're</u> socks have polka dots.,"---
- {Your} socks have polka dots.
",4/19/2014 15:42:22,4/19/2014 15:42:22,282,
1265,"Rewrite the sentence, choosing <b>your</b> or <b>you're</b> depending on the context.",Let's go to <u>your / you're</u> house.,"---
- Let's go to {your} house.
",4/19/2014 15:42:22,4/19/2014 15:42:22,282,
1266,"Rewrite the sentence, filling in the blank with the correct word.",I don't remember _____ name.,"---
- I don't remember {your} name.
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1267,"Rewrite the sentence, filling in the blank with the correct word.","Luke, I am ______ father.","---
- Luke, I am {your} father.
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1268,"Rewrite the sentence, filling in the blank with the correct word.",Sometimes you should do what ____ instincts tell you to do.,"---
- Sometimes you should do what {your} instincts tell you to do.
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1269,"Rewrite the sentence, filling in the blank with the correct word.",Be careful while _____ cutting that apple.,"---
- Be careful while {you're} cutting that apple.
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1270,"Rewrite the sentence, filling in the blank with the correct word.",______ never going to guess what happened.,"---
- {You're} never going to guess what happened.
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1271,"Rewrite the sentence, filling in the blank with the correct word.",The band is playing at <u>you're/ your</u> house!,"---
- The band is playing at {your} house!
",4/19/2014 15:42:22,4/19/2014 15:42:22,283,
1272,"Rewrite the sentence, choosing <b>your</b> or <b>you're</b> depending on the context.",<u>You're/ Your</u> going to see snow tomorrow.,"---
- {You're} going to see snow tomorrow.
",4/19/2014 15:42:22,4/19/2014 15:42:22,284,
1273,"Rewrite the sentence, choosing <b>your</b> or <b>you're</b> depending on the context.",<u>You're/ Your</u> a Jedi now.,"---
- {You're} a Jedi now.
",4/19/2014 15:42:22,4/19/2014 15:42:22,284,
1274,Rewrite the sentence with the correct underlined verb.,"The floorboards, <u/>which / who / where</u> were put in ten years ago, have cracks.","---
- The floorboards, {which} were put in ten years ago, have cracks.
",4/19/2014 15:42:23,4/19/2014 15:42:23,285,
1276,"Rewrite the sentence, replacing the blank with the correct word.","Zoey's drawing, _____ was done with acrylic paint, dried quickly.","---
- Zoey's drawing, {which} was done with acrylic paint, dried quickly.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1277,"Rewrite the sentence, replacing the blank with the correct word.","My friend, _____ plays the cello, wants to go to Juilliard.","---
- My friend, {who} plays the cello, wants to go to Juilliard.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1278,"Rewrite the sentence, replacing the blank with either <b>which</b> or <b>that</b>.","My sister, _______ just graduated, wants to be a translator.","---
- My sister, {who} just graduated, wants to be a translator.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1279,"Rewrite the sentence, replacing the blank with the correct word.","Barry, ________ directed the play, is also a singer.","---
- Barry, {who} directed the play, is also a singer.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1280,"Rewrite the sentence, replacing the blank with the correct word.","Our summer home, _____ we vacation often, has big windows.","---
- Our summer home, {where} we vacation often, has big windows.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1281,"Rewrite the sentence, replacing the blank with the correct word.",My family often visits Maine because it is ______ the lobster is delicious.,"---
- My family often visits Maine because it is {where} the lobster is delicious.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1282,"Rewrite the sentence, replacing the blank with the correct word.",We should eat at the dining room table since it is ______ the nice silverware is set.,"---
- We should eat at the dining room table since it is {where} the nice silverware is
  set.
",4/19/2014 15:42:23,4/19/2014 15:42:23,286,
1283,Rewrite the sentence with the correct underlined verb.,I know someone <u/>which / who / where</u>drives too recklessly.,"---
- I know someone {who} drives too recklessly.
",4/19/2014 15:42:23,4/19/2014 15:42:23,287,
1284,Rewrite the sentence with the correct underlined verb.,I used to have a teacher<u/>which / who / where</u> gave tests every week.,"---
- I used to have a teacher {who} gave tests every week.
",4/19/2014 15:42:23,4/19/2014 15:42:23,287,
1285,Rewrite the sentence with the correct underlined verb.,Is this the room <u/>which / who / where</u>the new table is going?,"---
- Is this the room {where} the new table is going?
",4/19/2014 15:42:23,4/19/2014 15:42:23,288,
1286,Rewrite the sentence with the correct underlined verb.,The station <u/>which / who / where</u> I picked up my grandmother looks very nice.,"---
- The station {where} I picked up my grandmother looks very nice.
",4/19/2014 15:42:23,4/19/2014 15:42:23,288,
1287,Rewrite the sentence with the correct underlined verb.,I am looking for my friend <u>whose / that / when</u> shirt is blue.,"---
- I am looking for my friend {whose} shirt is blue.
",4/19/2014 15:42:24,4/19/2014 15:42:24,289,
1289,"Rewrite the sentence, replacing the blank with the correct word.","Yuri, _____ truck is in the shop, will be carpooling with us.","---
- Yuri, {whose} truck is in the shop, will be carpooling with us.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1290,"Rewrite the sentence, replacing the blank with the correct word.","Dr. Jones, _____ schedule is always busy, wants a vacation.","---
- Dr. Jones, {whose} schedule is always busy, wants a vacation.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1291,"Rewrite the sentence, replacing the blank with the correct word.","Someone, _______ name is unknown, painted this mural.","---
- Someone, {whose} name is unknown, painted this mural.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1292,"Rewrite the sentence, replacing the blank with the correct word.",The envelope _____ contained the winner's name was given to the host.,"---
- The envelope {that} contained the winner's name was given to the host.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1293,"Rewrite the sentence, replacing the blank with the correct word.",George returned the book _____ I loaned him.,"---
- George returned the book {that} I loaned him.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1294,"Rewrite the sentence, replacing the blank with the correct word.",Gabrielle wrote the essay______ won the contest.,"---
- Gabrielle wrote the essay {that} won the contest.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1295,"Rewrite the sentence, replacing the blank with the correct word.","My favorite time of the year is the fall, ______ I can jump on all the leaves.","---
- My favorite time of the year is the fall, {when} I can jump on all the leaves.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1297,"Rewrite the sentence, replacing the blank with the correct word.","In the summer, ______ it becomes hot, we open the windows.","---
- In the summer, {when} it becomes hot, we open the windows.
",4/19/2014 15:42:24,4/19/2014 15:42:24,290,
1298,Rewrite the sentence with the correct underlined verb.,The car <u>whose / that / when</u> came in last place has two flat tires.,"---
- The car {that} came in last place has two flat tires.
",4/19/2014 15:42:24,4/19/2014 15:42:24,291,
1299,Rewrite the sentence with the correct underlined verb.,I want the same kind of bag <u>whose / that / when</u> Sheila has.,"---
- I want the same kind of bag {that} Sheila has.
",4/19/2014 15:42:24,4/19/2014 15:42:24,291,
1300,Rewrite the sentence with the correct underlined verb.,I miss the summer vacations<u>whose / that / when</u> I would relax all day.,"---
- I miss the summer vacations {when} I would relax all day.
",4/19/2014 15:42:24,4/19/2014 15:42:24,292,
1301,Rewrite the sentence with the correct underlined verb.,Every Saturday we set aside some time<u>whose / that / when</u> we all read the same book.,"---
- Every Saturday we set aside some time {when} we all read the same book.
",4/19/2014 15:42:24,4/19/2014 15:42:24,292,
1302,Rewrite the sentence with the correct underlined verb.,"My teacher, <u>whom / why</u> you spoke to recently, will meet with you tomorrow.","---
- My teacher, {whom} you spoke to recently, will meet with you tomorrow.
",4/19/2014 15:42:24,4/19/2014 15:42:24,293,
1303,Rewrite the sentence with the correct underlined verb.,"Daniel, <u>whom / why</u> I saw yesterday, is looking healthier.","---
- Daniel, {whom} I saw yesterday, is looking healthier.
",4/19/2014 15:42:25,4/19/2014 15:42:25,293,
1304,"Rewrite the sentence, replacing the blank with the correct word.",The man _____ I spoke to told me to wait in the lobby.,"---
- The man {whom} I spoke to told me to wait in the lobby.
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1305,"Rewrite the sentence, replacing the blank with the correct word.","My brother, ______ my parents gave some money, needs a job.","---
- My brother, {whom} my parents gave some money, needs a job.
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1306,"Rewrite the sentence, replacing the blank with the correct word.","My cousin, _______ I have spoken to recently, is interested in journalism.","---
- My cousin, {whom} I have spoken to recently, is interested in journalism.
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1307,"Rewrite the sentence, replacing the blank with the correct word.",Is there a reason _____ you want my help?,"---
- Is there a reason {why} you want my help?
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1308,"Rewrite the sentence, replacing the blank with the correct word.",There is no good reason _____ she didn't finish her paper.,"---
- There is no good reason {why} she didn't finish her paper.
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1309,"Rewrite the sentence, replacing the blank with the correct word.",I don't understand ______ some people are cruel.,"---
- I don't understand {why} some people are cruel.
",4/19/2014 15:42:25,4/19/2014 15:42:25,294,
1310,Rewrite the sentence with the correct underlined verb.,I now understand  <u>whom / why</u> I received a B on this paper.,"---
- I now understand {why} I received a B on this paper.
",4/19/2014 15:42:25,4/19/2014 15:42:25,295,
1311,Rewrite the sentence with the correct underlined verb.,What is the reason <u>whom / why</u> you can't play this weekend?,"---
- What is the reason {why} you can't play this weekend?
",4/19/2014 15:42:25,4/19/2014 15:42:25,295,
1312,"Rewrite the sentence, choosing the correct underlined word.","The floorboards, <u>which, where, when</u> were put in ten years ago, have cracks.","---
- The floorboards, {which} were put in ten years ago, have cracks.
",4/19/2014 15:42:25,4/19/2014 15:42:25,296,
1313,"Rewrite the sentence, replacing the blank with the appropriate word.","My friend's new truck, ____ was on sale, needs some repair.","---
- My friend's new truck, {which} was on sale, needs some repair.
",4/19/2014 15:42:25,4/19/2014 15:42:25,297,
1321,"Rewrite the sentence, choosing the correct underlined word.","Is this the room <u>which, where, when</u>the new table is going?","---
- Is this the room {where} the new table is going?
",4/19/2014 15:42:25,4/19/2014 15:42:25,298,
1322,"Rewrite the sentence, choosing the correct underlined word.","The station <u>which, where, when</u> I picked up my grandmother looks very nice.","---
- The station {where} I picked up my grandmother looks very nice.
",4/19/2014 15:42:25,4/19/2014 15:42:25,298,
1323,"Rewrite the sentence, choosing the correct underlined word.","Every Saturday we set aside some time <u>which, where, when</u> we all read the same book.","---
- Every Saturday we set aside some time {when} we all read the same book.
",4/19/2014 15:42:25,4/19/2014 15:42:25,299,
1325,"Rewrite the sentence, choosing the correct underlined word.","I used to have a teacher <u>whose, whom, who</u> gave tests every week.","---
- I used to have a teacher {who} gave tests every week.
",4/19/2014 15:42:26,4/19/2014 15:42:26,300,
1330,"Rewrite the sentence, replacing the blank with the appropriate word.","Dr. Jones, _____ schedule is always busy, wants a vacation.","---
- Dr. Jones, {whose} schedule is always busy, wants a vacation.
",4/19/2014 15:42:26,4/19/2014 15:42:26,301,
1331,"Rewrite the sentence, replacing the blank with the appropriate word.","Someone, ______ name is unknown, painted this mural.","---
- Someone, {whose} name is unknown, painted this mural.
",4/19/2014 15:42:26,4/19/2014 15:42:26,301,
1334,"Rewrite the sentence, replacing the blank with the appropriate word.","My cousin, _____ I have spoken to recently, is interested in journalism.","---
- My cousin, {whom} I have spoken to recently, is interested in journalism.
",4/19/2014 15:42:26,4/19/2014 15:42:26,301,
1336,"Rewrite the sentence, choosing the correct underlined word.","My girlfriend, <u>whose, whom, who</u> house is nearby, will be picking us up.","---
- My girlfriend, {whose} house is nearby, will be picking us up.
",4/19/2014 15:42:26,4/19/2014 15:42:26,302,
1339,"Rewrite the sentence, choosing the correct underlined word.","The car <u>why, that</u> came in last place has two flat tires.","---
- The car {that} came in last place has two flat tires.
",4/19/2014 15:42:26,4/19/2014 15:42:26,304,
1340,"Rewrite the sentence, choosing the correct underlined word.","I want the same kind of bag <u>why, that</u> Sheila has.","---
- I want the same kind of bag {that} Sheila has.
",4/19/2014 15:42:26,4/19/2014 15:42:26,304,
1342,"Rewrite the sentence, replacing the blank with the appropriate word.",George returned the book ____ I loaned him.,"---
- George returned the book {that} I loaned him.
",4/19/2014 15:42:27,4/19/2014 15:42:27,305,
1343,"Rewrite the sentence, replacing the blank with the appropriate word.",Gabrielle wrote the essay _____ won the contest.,"---
- Gabrielle wrote the essay {that} won the contest.
",4/19/2014 15:42:27,4/19/2014 15:42:27,305,
