rule_question_id, concept_id
1684,36
1685,36
1686,36
1687,36
1688,37
1689,37
1690,37
1691,37
1692,37
1693,37
1694,37
1695,37
1696,37
1672,36
1673,36
2172,37
2180,37
2174,37
2171,37
1697,37
1698,37
2069,37
45,37
2164,37
2165,37
2173,37
2177,37
2178,37
2179,37
2182,37
2183,37
653,38
1395,38
1396,38
1406,39
1408,39
1409,40
1410,40
1384,41
1385,41
1386,41
1387,41
1388,41
1397,38
1398,38
1399,38
1755,42
1756,42
1757,42
1758,42
1759,42
1760,42
1761,42
1762,42
1763,42
1764,42
1765,43
1766,43
1767,43
1768,43
1769,43
1770,43
1771,43
65,44
66,44
67,44
550,44
553,44
948,44
949,44
1772,43
1773,43
1774,45
1775,45
1776,45
1777,45
1778,45
1779,45
1780,45
1781,45
1782,45
1783,45
1784,45
1788,45
791,46
1966,46
1967,46
1968,46
1969,46
1970,46
1971,46
1972,46
1973,46
1207,47
1208,47
1188,48
1189,48
1190,48
1191,48
1192,48
1193,49
1194,49
1195,49
1197,49
1198,49
1199,50
1200,50
1204,47
1205,47
1206,47
1201,50
1202,50
1203,50
1556,51
1557,51
1558,51
1559,51
1560,51
1561,51
1562,51
1567,51
1568,51
1573,52
1575,52
1576,52
1577,52
1578,52
1571,53
1572,53
1574,53
1579,53
1580,53
1581,53
1548,54
1550,54
1546,55
1547,55
1549,55
1551,55
1554,55
1555,55
1871,56
1872,56
1873,56
1874,56
1875,56
1975,57
860,58
877,58
878,58
866,59
867,60
868,60
834,61
835,62
836,62
838,63
839,63
837,64
1866,65
1867,65
1868,65
1869,65
1870,65
306,65
1856,66
1857,66
1854,66
1855,66
1842,67
1843,67
1844,67
1845,67
536,68
1528,68
1529,68
1569,68
1570,69
1530,68
1531,68
1532,68
1533,68
1534,68
1535,68
1536,68
1537,68
1538,69
1539,69
1540,69
1541,69
1542,69
1543,69
1563,68
1564,68
1565,69
1566,69
1544,68
1545,69
2008,70
2009,70
2010,70
2011,70
2012,70
2013,70
2014,70
2007,71
715,72
1945,72
1946,72
1947,72
1948,72
1949,72
1950,73
1951,73
1952,73
1953,73
1954,73
267,74
1649,74
1613,75
1606,76
1614,77
1624,78
1625,78
1629,79
1626,80
1627,80
1628,81
1623,78
1632,82
1631,83
1638,82
1633,83
1634,83
1635,84
1636,84
1637,85
1639,84
1640,85
1615,86
1616,86
1617,86
1621,86
1618,87
1619,87
1620,87
1622,87
1646,74
1647,74
1645,88
1644,89
1642,90
1643,90
1641,90
1648,88
1630,80
1916,91
1917,91
964,92
1454,92
1455,92
1943,93
1944,93
1941,94
1942,94
1930,93
1931,93
1932,93
1933,93
1934,93
1935,93
1936,93
1937,93
1938,93
1939,93
1940,93
1922,94
1923,94
1924,94
1925,94
1926,94
1927,94
1928,94
1929,94
1165,95
1465,95
1422,96
1423,96
1429,97
1430,97
1424,96
1425,96
1426,97
1427,97
1428,97
1431,98
1432,98
1433,98
1434,99
1435,100
1436,99
1437,99
885,101
887,101
1473,101
1474,102
1440,103
1441,103
1444,104
1445,104
1442,103
1443,103
1446,103
1456,105
1462,95
1463,95
1457,105
1458,105
1459,106
1460,106
1461,106
753,107
1884,107
1885,107
1464,106
1914,106
1915,106
1908,91
1909,91
1910,91
1911,91
1912,91
1913,91
1886,107
1887,107
1888,107
1889,107
1890,107
1891,107
1892,107
1893,107
1894,107
1895,107
1896,107
1897,106
1898,106
1899,106
1900,106
1901,106
1902,106
1903,106
1904,106
1905,106
1906,106
1907,106
1452,108
1453,108
1450,92
1451,92
1449,108
1466,109
1469,101
1470,101
1471,102
1472,102
1467,109
1468,109
1447,104
1448,104
212,100
1438,100
1439,100
1609,110
1610,110
1607,111
1608,111
1611,112
1612,112
1848,113
1849,113
1852,113
1853,113
1215,113
1216,113
1213,114
1214,114
1209,113
1210,113
1211,114
1212,114
1860,115
1861,115
1864,115
1865,115
889,115
888,116
890,116
811,117
1225,117
1226,117
1227,118
1228,118
1229,117
1230,117
1224,118
1231,118
865,119
864,120
875,120
824,121
825,121
823,122
1955,123
1956,123
1992,124
1993,124
1994,124
1996,124
1997,124
1998,124
1999,124
2000,124
2001,124
2002,124
2003,124
2004,124
364,125
618,125
363,126
365,127
366,128
619,128
2018,129
2019,129
2025,129
1219,130
1220,130
1217,131
1218,131
1223,130
1221,131
1222,131
1171,132
1172,132
1173,132
1174,132
1175,132
1176,132
857,133
859,133
858,134
1978,135
1983,135
828,136
830,136
829,137
2086,138
2084,139
1701,140
1702,140
1703,140
1704,140
1705,140
1706,140
1707,140
1708,140
1709,140
1710,140
1711,140
1712,140
1713,140
2074,140
2075,140
2076,140
2077,140
2078,140
2079,140
2080,140
2081,140
2082,140
2083,140
922,139
1699,139
1700,139
2029,139
2072,139
2073,139
2015,141
2085,138
2020,142
2021,142
2024,142
2027,142
439,142
831,143
833,143
832,144
379,145
380,145
622,145
1513,146
1514,146
1515,146
1516,146
1517,147
1518,147
1519,147
1520,147
1521,147
1522,148
1523,148
1524,148
1525,148
1526,147
1527,148
1496,149
1497,149
1498,149
1499,149
1500,149
1501,150
1502,150
1503,150
1504,150
1505,150
1506,151
1507,151
1508,151
1509,151
1510,151
1511,150
1512,151
1382,152
1383,152
1380,153
1381,153
1366,154
1367,154
1376,152
1377,152
1378,152
1379,152
1372,153
1373,153
1374,153
1375,153
1368,154
1369,154
1370,154
1371,154
1182,155
1186,155
1181,156
1183,156
1184,156
1185,156
1187,156
1179,157
1180,157
458,158
456,157
457,157
462,157
2059,37
2061,37
2064,37
873,159
872,160
874,160
847,161
848,161
846,162
2006,163
1494,164
1475,163
1476,163
1477,163
1495,165
2023,165
1489,164
1490,164
1491,165
1492,165
1478,166
1479,166
1480,166
1481,166
1482,166
1483,167
1493,168
1484,71
2005,168
2028,169
1487,168
1488,168
1485,71
1486,71
1920,170
1921,170
1918,170
1919,170
1292,54
1293,54
1294,54
1295,171
1296,171
1297,171
1287,172
1288,172
1289,172
1290,172
1291,172
1335,172
1336,172
1353,172
1326,173
1327,173
1328,173
1332,174
1333,174
1352,174
1329,172
1350,172
1351,172
1310,175
1311,175
1347,175
1348,175
1364,175
1365,175
1298,54
1299,54
1339,54
1340,54
1342,54
1343,54
1358,54
1359,54
1120,54
1552,54
1553,54
1300,171
1301,171
1323,171
1362,171
1363,171
1285,176
1286,176
1321,176
1322,176
1360,176
1361,176
1318,171
1319,171
1320,171
1315,176
1316,176
1317,176
1344,175
1345,175
1346,175
1280,176
1281,176
1282,176
324,177
1274,177
1275,177
1276,177
1312,177
1313,177
1354,177
1277,173
1278,173
1279,173
1341,54
1356,54
1357,54
1314,177
1355,177
1283,173
1284,173
1324,173
1325,173
1349,173
1334,174
1330,172
1331,172
1302,174
1303,174
1304,174
1305,174
1306,174
1337,174
1338,174
1307,175
1308,175
1309,175
852,178
853,179
854,179
1735,180
1736,180
1737,180
1738,180
1739,180
1740,180
1741,180
1742,180
1743,180
1744,180
1745,180
1746,180
1747,180
1748,180
1749,180
1750,180
1754,180
1722,181
1723,181
525,180
83,181
1725,181
1727,181
1728,181
1729,181
1730,181
1731,181
1732,181
1733,181
1734,181
1651,182
1655,182
1657,182
1668,182
1650,183
1652,183
1653,183
1654,183
1656,183
1658,183
1659,183
1660,183
1661,183
1662,183
1663,183
1664,183
1665,183
1666,183
1667,183
1669,183
1670,183
1671,183
1974,184
1979,185
1980,185
2016,141
2017,141
2022,141
2026,141
1793,186
1794,186
1785,186
1786,186
1787,186
1789,186
1790,186
1791,186
1792,186
1403,187
1404,187
1405,188
1407,188
1389,189
1390,189
1391,189
1392,189
1400,187
1401,187
1402,187
1393,189
1394,189
1411,190
1412,190
404,191
405,191
406,191
407,191
1232,191
1233,191
1237,191
1238,191
403,192
1234,192
1235,192
1236,192
1239,192
1846,193
1847,193
1850,193
1851,193
1248,194
1249,194
1250,195
1251,195
1240,196
1241,196
1244,194
1245,194
1246,195
1247,195
1242,196
1243,196
820,197
822,197
821,198
1252,199
1253,199
1260,199
1261,200
1262,201
1263,201
1254,199
1255,199
1256,200
1257,200
1258,201
1259,201
768,202
769,202
770,202
1991,203
1170,204
777,204
1985,204
1986,204
1987,204
1988,204
1989,204
1990,204
1178,204
1177,204
1837,205
1838,205
1839,205
1840,205
1841,205
1858,206
1859,206
1862,206
1863,206
1269,206
1270,206
1266,207
1267,207
1268,207
1271,207
1272,206
1273,206
1264,207
1265,207
2185,208
2186,209
2187,210
