id,title,created,modified,categoryId,workbookId,description,classification,uid,flags
88,"Adjectives to Adverbs: Ending in ""y""",9/15/2013 23:42:29,9/30/2013 19:59:39,13,1,"<b>Adjective:</b> I was really <u>happy</u> this morning.
<b>Adverb:</b> I will <b>happily</b> go out tonight.
<br>
Adjectives ending in ""y"" (happy), become adverbs by changing the ""y"" to an ""i"", and then adding ""ly""(<b>happily</b>).
<br>","Adverb with ""y""",,{archived}
17,Practice: Singular and Plural Nouns,9/15/2013 21:49:25,9/15/2013 21:49:25,2,1,,,,{archived}
246,Built,12/10/2013 22:35:37,12/10/2013 22:37:37,56,1,,Irregular Past Tense Verbs,,{archived}
244,Sat,12/10/2013 21:58:43,12/11/2013 4:06:22,56,1,,Irregular Past Tense Verbs,,{archived}
89,"Adjectives to Adverbs: Ending in ""le""",9/15/2013 23:44:08,9/30/2013 19:59:52,13,1,"<b>Adjective:</b> I think this task is pretty <u>simple</u>.
<b>Adverb:</b> You <b>simply</b> put the ball in the net.
<br>
Adjectives ending in ""le"" (simple), become adverbs by changing the ""le"" to ""ly""(<b>simply</b>).
<br>","Adverb with ""le""",,{archived}
90,"Adjectives to Adverbs: Ending in ""e""",9/15/2013 23:48:26,9/30/2013 20:00:11,13,1,"<b>Adjective:</b> You are <u>brave</u> enough to face your fears.
<b>Adverb:</b> Rita <b>bravely</b> faced her fears.
<br>
Adjectives ending in ""e"" (brave), become adverbs by simply adding ""ly"" to the end of the word (<b>bravely</b>).
<br>","Adverb with ""e""",,{archived}
20,"Practice: Past, Present, and Future",9/15/2013 21:56:14,9/15/2013 21:56:14,3,1,,,,{archived}
96,Can't,9/16/2013 0:00:11,9/30/2013 20:06:14,15,1,"<b>Separate:</b> I <u>can not</u> see in the dark.
<b>Contraction:</b> I <b>can't</b> see in the dark.
<br>
To make ""can"" and ""not"" a contraction, we write <b>can't</b>.
<br>",Contraction,,{archived}
97,Won't,9/16/2013 0:10:20,9/30/2013 20:06:43,15,1,"<b>Separate:</b> I <u>will not</u> sign anything until I've read the contract.
<b>Contraction:</b> I <b>won't</b> sign anything until I've read the contract.
<br>
To make ""will"" and ""not"" a contraction, we write <b>won't</b>.
<br>",Contraction,,{archived}
9,Lose vs. Loose,9/15/2013 2:02:12,9/21/2013 20:57:42,28,1,"<b>Lose:</b> I <b>lose</b> my keys; I <b>lose</b> my balance.  
<b>Loose:</b> The screws were <b>loose</b>; It broke <b>loose</b>. 

<b>Lose</b> refers to a loss.  
<b>Loose</b> means to let go or the opposite of tight.",Commonly Confused Words,,{archived}
11,Proper Nouns,9/15/2013 21:33:49,9/30/2013 19:17:15,1,1,"<b>Examples: John, Sarah, London, Japan, and Yankees</b>
<br>
Proper nouns are names for people, places, and things, such as <b>John</b>, or <b>Japan</b>. All proper nouns are capitalized.
<br>",Proper Nouns,,{archived}
10,Common Nouns,9/15/2013 21:13:27,9/30/2013 19:18:41,1,1,"<b>Examples: man, woman, city, country, baseball team. </b>
<br>
Common nouns are ordinary words for people, places, and things, such as <b>man</b>, or <b>country</b>. Common nouns are not capitalized.
<br>",Common Nouns,,{archived}
82,Wrote,9/15/2013 23:31:29,11/26/2013 1:28:39,12,1,"<b>Correct:</b> My brother <b>wrote</b> me an email, but I never received it.
<b>Incorrect:</b> My brother <u>writed</u> me an email, but I never received it.
<br>
The past tense of ""write"" is <b>wrote</b>.
<br>",Irregular Past Tense,,{archived}
83,Found,9/15/2013 23:32:15,11/26/2013 1:30:47,12,1,"<b>Correct:</b> I finally <b>found</b> my phone in my backpack.
<b>Incorrect:</b> I finally <u>finded</u> my phone in my backpack.
<br>
The past tense of ""find"" is <b>found</b>.
<br>",Irregular Past Tense,,{archived}
86,Adverbs,9/15/2013 23:36:22,11/27/2013 18:55:59,13,1,"<b>Adjective:</b> My car is really <u>slow</u>.
<b>Adverb:</b> I drive <b>slowly</b> when it is raining.
<br>
Adverbs are used to describe verbs, adjectives, or other adverbs. They usually describe how an action is being done (drive <b>slowly</b>).
<br>",Adverb,,{archived}
26,Practice: Conjunctions,9/15/2013 22:12:59,9/15/2013 22:12:59,4,1,,,,{archived}
98,Don't,9/16/2013 0:14:06,9/30/2013 20:06:57,15,1,"<b>Separate:</b> I <u>do not</u> go to school on Saturday.
<b>Contraction:</b> I <b>don't</b> go to school on Saturday.
<br>
To make ""do"" and ""not"" a contraction, we write <b>don't</b>.
<br>",Contraction,,{archived}
99,Haven't,9/16/2013 0:15:22,9/30/2013 20:07:24,15,1,"<b>Separate:</b> I <u>have not</u> contacted Mrs. Robinson.
<b>Contraction:</b> I <b>haven't</b> contacted Mrs. Robinson.
<br>
To make ""have"" and ""not"" a contraction, we write <b>haven't</b>.
<br>",Contraction,,{archived}
100,I've,9/16/2013 0:16:18,9/30/2013 20:07:55,15,1,"<b>Separate:</b> I <u>have been</u> to Mexico before.
<b>Contraction:</b> <b>I've</b> been to Mexico before.
<br>
To make a contraction with ""I"" and ""have"", we write <b>I've</b>.
<br>",Contraction,,{archived}
101,That's,9/16/2013 0:17:07,9/30/2013 20:08:16,15,1,"<b>Separate:</b> <u>That is</u> a good idea.
<b>Contraction:</b> <b>That's</b> a good idea.
<br>
To make a contraction with ""that"" and ""is"", we write <b>that's</b>.
<br>",Contraction,,{archived}
41,"Practice: At, In, & On",9/15/2013 22:36:21,9/15/2013 22:36:21,6,1,,,,{archived}
44,Practice: Capitalize Dates and Names,9/15/2013 22:41:42,9/15/2013 22:41:42,7,1,,,,{archived}
47,Practice: Dates and Lists,9/15/2013 22:44:54,9/15/2013 22:44:54,8,1,,,,{archived}
104,You're,9/16/2013 0:19:39,10/19/2013 3:04:22,15,1,"<b>Separate:</b> <u>You are</u> responsible for logging your work.
<b>Contraction:</b> <b>You're</b> responsible for logging your work.
<br>
We use <b>you're</b> to say that <u>you are</u> doing something.
<br>",Contraction,,{archived}
53,Practice: Irregular Plural Nouns,9/15/2013 22:53:00,9/15/2013 22:53:00,10,1,,,,{archived}
130,Lose vs. Loose,9/19/2013 3:23:48,9/30/2013 20:20:42,20,1,"<b>Lose: lose</b> my keys, <b>lose</b> a game, <b>lose</b> one's balance.
<b>Loose:</b> the screws were <b>loose</b>, it broke <b>loose</b>.
<br>
We use <b>lose</b> when we can't find something, don't have something, or didn't win. 
<br>
We use <b>loose</b> when something isn't tight, or something is freed.",Commonly Confused Words,,{archived}
183,Made,10/23/2013 2:31:11,10/23/2013 2:31:11,39,1,"<b>Correct:</b> We have <b>made</b> many mistakes before coming to the right conclusion.
<b>Incorrect:</b> We have <u>maked</u> many mistakes before coming to the right conclusion.

The past participle for ""make"" is <b>made</b>.",Past Participle,,{archived}
182,Lost,10/23/2013 2:29:30,10/23/2013 2:31:31,39,1,"<b>Correct:</b> My favorite team has <b>lost</b> only once this season.
<b>Incorrect:</b> My favorite team has <u>losed</u> only once this season.

The past participle for ""lose"" is <b>lost</b>.",Past Participle,,{archived}
184,Gone,10/23/2013 2:34:09,10/23/2013 2:34:09,39,1,"<b>Correct:</b> Velma has <b>gone</b> to visit her brother in the hospital.
<b>Incorrect:</b> Velma has <u>goed</u> to visit her brother in the hospital.

The past participle of ""go"" is <b>gone</b>.",Past Participle,,{archived}
195,Verb Tense,11/10/2013 0:55:38,3/10/2014 3:19:37,47,1,"<b>Correct:</b> I laughed, I cried, and I shouted during the performance.
<b>Incorrect:</b> I laughed, I was crying, and I shout during the performance.

Sentences flow easily when all the actions in a list have the same ending. This means that each and every action in a list stays in the past, present, or future tense.",Sentence Structure,,{archived}
84,Practice: Irregular Past Tense,9/15/2013 23:32:43,9/15/2013 23:32:43,12,1,,,,{archived}
15,Singular And Plural Nouns,9/15/2013 21:45:55,11/25/2013 16:41:14,2,1,"<b>Subject is I:</b> <u>I</u> <u>run</u> a half-mile everyday.
<b>Subject is She:</b> <u>She</u> <u>runs</u> a half-mile everyday.
<br>
Subjects (<b>I, she</b>) and verbs (<b>run, runs</b>) have to agree with each other. 
If the subject of a sentence is ""I"", ""you"" or ""they"", we don't change the verb. If the subject is ""he"", ""she"", or ""it"", we add an ""s"" to the end of the verb.
<br>",Noun-Verb Agreement,,{archived}
48,Collective Nouns,9/15/2013 22:47:51,11/25/2013 20:26:33,9,1,"<b>Correct:</b> There is a huge <b>crowd</b> of people at the front gate.
<b>Incorrect:</b> There is a huge <u>crowds</u> of people at the front gate.
<br>
Collective nouns are words like <b>group, bunch, gallon, bouquet,</b> etc. They usually are singular and describe a group of things (<b>group</b> of people).
<br>
If there are multiple groups of things, you pluralize the collective noun (two <b>armies</b>, two <b>herds</b>, etc). For example, if you are trying to say that there are two groups of soldiers, you say there are two <b>armies</b>, not two army.
<br>",Collective Nouns,,{archived}
50,"Ends with ""fe""",9/15/2013 22:50:04,11/25/2013 20:39:50,10,1,"<b>Correct:</b> Some people say cats have nine <b>lives</b>.
<b>Incorrect:</b> Some people say cats have nine <u>lifes</u>.
<br>
Nouns that end in ""fe"" (life) have an irregular plural form. To make them plural, we change the ""fe"" (life) to ""ves"" (<b>lives</b>).
<br>","Plural Nouns with ""fe""",,{archived}
62,Myself,9/15/2013 23:04:52,11/25/2013 21:20:53,11,1,"<b>Reflexive:</b> I hit <b>myself</b> with a ball playing soccer yesterday.
<b>Non-Reflexive:</b> I was hit with a ball while playing soccer yesterday.
<br>
If a subject (I) does something to itself, we use a reflexive pronoun (<b>myself</b>). In the second example, the subject (I) does not do something to itself, so we do not use a reflexive pronoun.
<br>",Reflexive Pronoun,,{archived}
63,Yourself,9/15/2013 23:05:56,11/25/2013 21:24:17,11,1,"<b>Reflexive:</b> Why don't you lift <b>yourself</b> out of the hole?
<b>Non-Reflexive:</b> Why don't you lift Alex out of the hole?
<br>
If a subject (you) does something to its itself, we use a reflexive pronoun (<b>yourself</b>). Sentences where the subject (you) does not do something to itself (Alex) do not use a reflexive pronoun.
<br>",Reflexive Pronoun,,{archived}
74,Did,9/15/2013 23:24:48,11/26/2013 1:33:24,12,1,"<b>Correct:</b> I <b>did</b> too much work today.
<b>Incorrect:</b> I <u>doe</u>d too much work today.
<br>
The past tense of ""do"" is <b>did</b>.
<br>",Irregular Past Tense,,{archived}
75,Ate,9/15/2013 23:25:30,11/26/2013 1:35:38,12,1,"<b>Correct:</b> I once <b>ate</b> three hot dogs at the same time.
<b>Incorrect:</b> I once <u>eated</u> three hot dogs at the same time.
<br>
The past tense of ""eat"" is <b>ate</b>.
<br>",Irregular Past Tense,,{archived}
106,Whose,9/19/2013 1:59:47,11/27/2013 22:05:50,16,1,"<b>Correct:</b> My friend Steve, <b>whose</b> <u>job</u> is fun, loves going to work.
<b>Incorrect:</b> My friend Steve, <u>who job</u> is fun, loves going to work.
<br>
We use <b>whose</b> to give more details about something the subject (Steve) owns (<u>job</u>).
<br>",Relative Pronoun,,{archived}
79,Made,9/15/2013 23:29:13,12/21/2013 17:32:01,12,1,"<b>Correct:</b> I <u>made</u> a vase out of clay.
<b>Incorrect:</b> I <u>maked</u> a vase out of clay.
<br>
The past tense of ""make"" is <b>made</b>.
<br>",Irregular Past Tense,,{archived}
24,So,9/15/2013 22:10:42,9/30/2013 19:24:44,4,1,"<b>Not Connected:</b> I don't like hamburgers. I will have spaghetti.
<b>Connected:</b> I don't like hamburgers, <b>so</b> I will have spaghetti.
<br>
<b>So</b> connects two <i>related</i> sentences into one larger one. In the example, <b>so</b> is used because the subject (I) does not like hamburgers, and has spaghetti instead.
<br>",Conjunction,,{archived}
25,Because,9/15/2013 22:12:35,9/30/2013 19:26:11,4,1,"<b>Not Connected:</b> I like this spaghetti. There is a lot of cheese in it.
<b>Connected:</b> I like this spaghetti <b>because</b> there is a lot of cheese in it.
<br>
<b>Because</b> connects two sentences into one longer sentence. In the example, <b>because</b> is used to show that the amount of cheese is the <i>reason</i> the spaghetti is liked.
<br>",Conjunction,,{archived}
91,Practice: Adjectives vs. Adverbs,9/15/2013 23:49:12,9/15/2013 23:49:12,13,1,,,,{archived}
95,"Practice: Capitalize Holidays, Product Names, & Geographic Names",9/15/2013 23:58:20,9/30/2013 20:32:49,14,1,,,,{archived}
152,Using Periods,10/4/2013 3:57:13,10/4/2013 4:41:28,29,1,"<b>Correct:</b> I went to the zoo. I saw an elephant.

<b>Incorrect:</b> I went to the zoo.I saw an elephant.
<b>Incorrect:</b> I went to the zoo .I saw an elephant.
<br>
We put a space <i>after</i> a period.
<br>",Period Spacing,,{archived}
21,And,9/15/2013 22:01:29,10/6/2013 19:10:01,4,1,"<b>Not Connected:</b> I like spaghetti. I like hamburgers.
<b>Connected:</b> I like spaghetti <b>and</b> I like hamburgers.
<br>
<b>And</b> connects two sentences into one longer sentence. In the example, we use <b>and</b> to show that the subject ( I ) likes both spaghetti and hamburgers.
<br>",Conjunction,,{archived}
102,It's,9/16/2013 0:17:54,9/30/2013 20:08:58,15,1,"<b>Separate:</b> <u>It is</u> really great you decided to come.
<b>Contraction:</b> <b>It's</b> really great you decided to come.
<br>
To make a contraction with ""it"" and ""is"", we write <b>it's</b>.
<br>",Contraction,,{archived}
188,Using Quotation Marks,10/26/2013 21:28:57,3/10/2014 4:29:15,29,1,"<b>Correct:</b> Our librarian always reminds us, ""Speak softly in the library.""
<b>Incorrect:</b> Our librarian always reminds us,  ""   Speak softly in the library.""

Whenever we use quotation marks, they always go right next to a word or punctuation (<b>""Speak softly in the library.""</b>). We never put in extra spaces between quotation marks and the words next to them.",Spacing,,{archived}
18,Past Tense,9/15/2013 21:53:02,11/25/2013 16:38:52,3,1,"<b>Past:</b> I <b>walked</b> to school.
<b>Present:</b> I <u>walk</u> to school.
<br>
When we want to talk about things that happened earlier, we usually add ""ed"" to the end of regular verbs to make them past tense.
<br>",Regular Past Tense,,{archived}
19,Future Tense,9/15/2013 21:55:24,11/25/2013 16:39:27,3,1,"<b>Future:</b> I <b>will walk</b> to school.
<b>Present:</b> I <u>walk</u> to school.
<br>
We use the future tense to describe things that we think will happen. To make the future tense ( <b>will walk</b> ), we add the helping verb ""will"" before the verb ( <u>walk</u> ).
<br>",Regular Future Tense,,{archived}
107,Who,9/19/2013 2:02:04,11/27/2013 22:06:27,16,1,"<b>Correct:</b> Have you met the girl <b>who</b> started in grade 7 last week?
<b>Incorrect:</b> Have you met the girl <u>that</u> started in grade 7 last week?
<br>
We use <b>who</b> to give more details about a person (the girl). <b>Who</b> is used for someone (the girl) who <i>does</i> an action (started in grade 7) instead of <u>receiving</u> an action.
<br>",Relative Pronoun,,{archived}
109,Whom,9/19/2013 2:13:50,11/28/2013 17:17:48,16,1,"<b>Correct:</b> My father, <b>whom</b> <u>I respect</u>, is a self-made man.
<b>Incorrect:</b> My father, <u>who I respect</u>, is a self-made man.
<br>
We use <b>whom</b> to give more details about someone (My father) who <i>receives</i> an action (<u>I respect</u>) instead of <i>doing</i> an action. The example above says that someone (<u>I</u>) respects her father, which means that ""father"" receives the action, ""respect"".
<br>
",Relative Pronoun,,{archived}
111,Where,9/19/2013 2:22:59,11/28/2013 17:23:58,16,1,"<b>Correct:</b> Let's go to the living room, <b>where</b> we will serve drinks.
<b>Incorrect:</b> Let's go to the living room, <u>when</u> we will serve drinks.
<br>
<b>Where</b> is used to talk about something happening (serve drinks) in, on, or at a certain place (living room).
<br>",Relative Pronoun,,{archived}
112,When,9/19/2013 2:24:04,11/28/2013 17:24:26,16,1,"<b>Correct:</b> My favorite time of year is autumn, <b>when</b> all the leaves change color.
<b>Incorrect:</b> My favorite time of year is autumn, <u>where</u> all the leaves change color.
<br>
<b>When</b> is used to to talk about something happening (leaves change color) in on, or at a certain time (autumn).
<br>",Relative Pronoun,,{archived}
113,Why,9/19/2013 2:25:12,11/28/2013 17:24:47,16,1,"<b>Correct:</b> Please tell me <b>why</b> you missed the meeting.
<b>Incorrect:</b> Please tell me <u>where</u> you missed the meeting.
<br>
<b>Why</b> is used to talk about something happening (missed the meeting) for a certain reason.
<br>",Relative Pronoun,,{archived}
115,Present Progressive,9/19/2013 2:35:11,11/28/2013 17:25:43,17,1,"<b>Simple Present:</b> Jesse <u>thinks</u> about seagulls.
<b>Present Progressive:</b> Jesse <b>is thinking</b> about seagulls right now.
<br>
Present progressive tense describes an ongoing action that is happening <i>right now</i> (Jesse <b>is thinking</b> right now). This tense is made by putting words like “am,” “is”, and “are” before the verb, and adding “ing” to the end of the verb (<b>is</b> think<b>ing</b>).
<br>",Present Progressive Tense,,{archived}
116,Past Progressive,9/19/2013 2:37:24,11/28/2013 17:26:12,17,1,"<b>Simple Past:</b> James <u>cleaned</u> the mess he made when his mom walked in the room.
<b>Past Progressive:</b> James <b>was cleaning</b> the mess he made when his mom walked in the room.
<br>
Past progressive tense describes something which was happening (<b>was cleaning</b>) when something else occurred (mom walked in). This tense is made by putting words like “was” or “were” before the verb and adding “ing” at the end of the verb (<b>was</b> clean<b>ing</b>).
<br>",Past Progressive Tense,,{archived}
94,Geographic Names,9/15/2013 23:57:43,11/30/2013 19:49:39,14,1,"<b>Correct:</b> I am moving to <b>Los Angeles</b> next month.
<b>Incorrect:</b> I am moving to <u>los angeles</u> next month.
<br>
We capitalize the names of all geographic places (cities, countries, towns, mountains, etc).
<br>",,,{archived}
108,Which,9/19/2013 2:07:52,12/9/2013 19:44:36,16,1,"<b>That:</b> The new classrooms <u>that</u> had their walls painted look great.
<b>Which:</b> The new classrooms, <b>which</b> had their walls painted, look great.
<br>
We use <b>which</b> to give more details about something (new classrooms), but the details don't change the meaning of the sentence. In the first example, using ""that"" means <i>only</i> the painted classrooms look great. In the second example, using <b>which</b> means that the new classrooms look great, and they also <i>happen</i> to be painted. We usually place commas before <b>which</b>.
<br>",Relative Pronoun,,{archived}
119,Can vs. May,9/19/2013 2:44:47,9/30/2013 20:16:48,18,1,"<b>Permission:</b> <b>May</b> we go to the park tomorrow? I really want to go!
<b>Ability:</b> <b>Can</b> we go to the park tomorrow? Do we have enough time?
<br>
We use <b>may</b> to ask or give permission. We use <b>can</b> to say we have the ability to do something.
<br>",Modal Auxiliary,,{archived}
120,Should vs. Must,9/19/2013 2:46:13,9/30/2013 20:17:06,18,1,"<b>Advice:</b> You <b>should</b> go to the doctor.
<b>Emergency:</b> You <b>must</b> go to the doctor.
<br>
We use the word <b>must</b> when we want to emphasize that something <i>needs</i> to be done. We use <b>should</b> when we want to suggest or give advice.
<br>",Modal Auxiliary,,{archived}
123,Prepositional Phrases: Adjective,9/19/2013 2:51:00,9/30/2013 20:17:46,19,1,"<b>Prepositional Adjective:</b> The <u>man</u> <b>behind the bench</b> is waiting for the bus.
<br>
An adjective prepositional phrase describes what something looks like. Adjective prepositional phrases (<b>behind the bench</b>) are placed after a noun (<u>man</u>).
<br>",Adjectival Prepositional Phrase,,{archived}
125,Practice: Prepositional Phrases,9/19/2013 2:52:52,9/19/2013 2:52:52,19,1,,,,{archived}
124,Prepositional Phrases: Adverb,9/19/2013 2:52:17,9/30/2013 20:18:19,19,1,"<b>Prepositional Adverb:</b> The man <u>reached</u> <b>under</b> the desk.
<br>
An adverbial prepositional phrase describes how something is being done. 
<br>
Adverb prepositional phrases (<b>under the desk</b>) are placed after a verb (<u>reached</u>).
<br>",Adverbial Prepositional Phrase,,{archived}
127,Its vs. It's,9/19/2013 3:09:13,9/30/2013 20:19:42,20,1,"<b>It's: It's</b> time to go.
<b>Its:</b> The dog wags <b>its</b> tail.
<br>
<b>It's</b> is the same as ""it is"".
<br>
 <b>Its</b> is possessive, meaning the object (tail) belongs to the subject (dog).
<br>",Commonly Confused Words,,{archived}
128,Of vs. Off,9/19/2013 3:13:36,9/30/2013 20:20:00,20,1,"<b>Of:</b> a button <b>of</b> a coat, north <b>of</b> Chicago, member <b>of</b> a team.
<b>Off:</b> turn <b>off</b> the lights, my shoes are <b>off</b>, break <b>off</b> some bread.
<br>
We use the word <b>of</b> to show how one thing is connected to another thing. 
<br>
We use the word <b>off</b> to say that something is no longer connected to something else.
<br>",Commonly Confused Words,,{archived}
129,Than vs. Then,9/19/2013 3:18:20,9/30/2013 20:20:14,20,1,"<b>Than:</b> I am older <b>than</b> my brother.
<b>Then:</b> The sky was pink, and <b>then</b> it became dark.
<br>
We use <b>than</b> to compare two or more things. We use <b>then</b> to say ""at that time.""
<br>",Commonly Confused Words,,{archived}
132,"There, They're, & Their",9/19/2013 3:27:57,9/30/2013 20:21:48,20,1,"<b>There:</b> There is a park by the lake.
<b>They're:</b> They're going to the park.
<b>Their:</b> They left their frisbee at the park.
<br>
<b>There</b> is used for locations. 
<br>
<b>They're</b> is the same as ""they are"". 
<br>
<b>Their</b> is used when something (they) owns something else (frisbee).
<br>
",Commonly Confused Words,,{archived}
137,Practice: Capitalization,9/19/2013 3:38:30,9/19/2013 3:38:30,21,1,,,,{archived}
141,Practice: Pronoun Case,9/19/2013 19:55:30,9/19/2013 19:55:30,23,1,,,,{archived}
143,Practice: Intensive Pronouns,9/20/2013 22:12:02,9/20/2013 22:12:02,24,1,,,,{archived}
